"EDU","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"315
ED PSYCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
011","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
013","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","990
014","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","3","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990
018","4","",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".",".",".","."
"","990
019","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
023","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
026","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
027","5","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"","990
035","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
037","5","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"","990
039","4","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
041","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
043","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
052","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research or Thesis","Course Total","60","",".",".",".",".",".",".",".","73.3","1.7",".",".","25.0",".",".",".","."
"","999
018","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
035","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","999
041","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"315
ED PSYCH","Dept. Total","1160","3.548","50.1","17.7","13.9","4.7","4.3","0.9","0.3","4.7","0.1",".",".","1.4","2.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.113","23.8","21.3","23.8","16.3","13.8","1.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","268","3.423","44.0","22.8","18.7","4.9","6.7","1.9","0.7",".",".",".",".",".","0.4",".",".","."
"Junior","","188","3.427","45.2","19.7","19.7","6.9","5.9","1.6","0.5",".",".",".",".",".","0.5",".",".","."
"Senior","","219","3.525","49.8","21.5","16.0","6.8","4.6","0.5",".","0.9",".",".",".",".",".",".",".","."
"Undergraduates","","755","3.421","43.8","21.5","18.7","7.2","6.6","1.3","0.4","0.3",".",".",".",".","0.3",".",".","."
"Special","","31","3.929","80.6","6.5","3.2",".",".",".",".","9.7",".",".",".",".",".",".",".","."
"Graduate","","365","3.874","60.8","10.7","4.4",".",".",".",".","13.4","0.3",".",".","4.4","6.0",".",".","."
"Prof Yr 1","","5","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1160","3.548","50.1","17.7","13.9","4.7","4.3","0.9","0.3","4.7","0.1",".",".","1.4","2.1",".",".","."
