"CURRICULUM AND INSTRUCTIO","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"272
CURRIC","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","630
003","","7","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Schl Program Develop","Course Total","","20","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","660
001","","25","3.979","92.0","4.0","",".",".","",".","",".","",".",".",".",".",".",".","4.0",".",".","."
"","660
002","","27","3.963","92.6","7.4","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","Course Total","","52","3.970","92.3","5.8","",".",".","",".","",".","",".",".",".",".",".",".","1.9",".",".","."
"Adv Methods in Teaching ESL","674
001","","12","3.938","58.3","8.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","675
001","","25","3.875","48.0","16.0","",".",".","",".","",".","",".",".",".",".",".",".","4.0",".",".","."
"","675
003","","9","4.000","88.9",".","",".",".","",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"","675
005","","16","3.654","25.0","56.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","675
006","","5","4.000","80.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","20.0","."
"","675
007","","8","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","675
008","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","65","3.859","58.5","20.0","",".",".","",".","",".","",".",".",".",".",".",".","3.1",".","1.5","."
"","690
052","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","690
074","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","690
084","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","690
095","","2","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","690
097","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Independent Field Work","Course Total","","8","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".","37.5","12.5",".",".","."
"","699
002","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
032","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
045","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
052","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
057","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
073","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
074","","6","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","16.7",".","16.7","."
"","699
075","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","699
084","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
092","","3","3.500",".","33.3","",".",".","",".","",".","",".",".",".",".",".","66.7",".",".",".","."
"","699
095","","3","4.000","66.7",".","",".",".","",".","",".","",".",".",".",".",".","33.3",".",".",".","."
"","699
145","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","27","3.967","70.4","3.7","",".",".","",".","",".","",".",".",".",".",".","11.1","7.4",".","3.7","."
"Analys-Computers in Curric","701
001","","7","4.000","85.7",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","14.3","."
"Curriculum Planning","704
001","","11","4.000","54.5",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Research & Eval Paradigms","714
001","","18","4.000","94.4",".","",".",".","",".","",".","",".",".",".",".",".",".","5.6",".",".","."
"Design of Rsch in Curric","715
001","","16","3.969","93.8","6.3","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Qual Mth-Stdy Chldrn&Contxt","726
001","","20","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Perspectvs-Multicultrl Educ","744
001","","23","3.971","69.6","4.3","",".",".","",".","",".","",".",".",".",".",".",".","26.1",".",".","."
"Iss-Ed Communication Tech","800
001","","10","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Guidng&Directg-Sch Rdg Prog","805
001","","11","3.955","90.9","9.1","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Curricular Issues-Math Ed","812
001","","24","3.833","70.8","25.0","","4.2",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Theory & Dsgn of the Curric","830
001","","29","3.857","51.7","20.7","",".",".","",".","",".","",".",".",".",".",".",".","24.1",".","3.4","."
"Fld-School Reading Programs","840
001","","10","3.966","90.0","10.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Issues-Elementary Education","855
001","","20","3.833","40.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".",".","5.0",".","."
"","916
001","","10","4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".","40.0",".","10.0","."
"","916
002","","15","3.962","80.0","6.7","",".",".","",".","",".","",".",".",".",".",".",".","13.3",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 86 of 441",""
