"E ASIAN LANGUAGES & LITERA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"295
E ASIAN","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 301","20","3.421","30.0","25.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
001 302","18","3.147","38.9","11.1","11.1","5.6","16.7","11.1",".",".",".",".",".",".",".",".","5.6","."
"","101
001 303","12","3.682","66.7","8.3","8.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","101
001 305","14","3.654","64.3","7.1","14.3",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","64","3.442","46.9","14.1","18.8","3.1","6.3","4.7",".","4.7",".",".",".",".",".",".","1.6","."
"","103
001 306","16","3.094","12.5","50.0","6.3","6.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","103
001 307","18","2.639","5.6","27.8","22.2","22.2","5.6","5.6","11.1",".",".",".",".",".",".",".",".","."
"","103
001 302","21","3.262","28.6","38.1","19.0","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","103
001 304","16","2.875","18.8","25.0","25.0",".","18.8","6.3","6.3",".",".",".",".",".",".",".",".","."
"","103
001 301","18","2.971","27.8","5.6","22.2","11.1","22.2","5.6",".","5.6",".",".",".",".",".",".",".","."
"","103
001 303","18","3.194","22.2","27.8","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","107","3.014","19.6","29.0","19.6","11.2","13.1","2.8","3.7","0.9",".",".",".",".",".",".",".","."
"Elementary Korean","105
001 301","19","3.263","31.6","21.1","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","122
001","19","3.750","63.2","21.1","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Elementary Japanese","124
001","16","3.533","25.0","50.0","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","201
001 301","13","3.583","30.8","46.2","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","201
001 302","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","25","3.625","40.0","40.0","16.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","203
001 302","20","2.975","20.0","20.0","30.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","203
001 301","20","3.000","30.0","15.0","15.0","5.0","25.0","10.0",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","40","2.988","25.0","17.5","22.5","10.0","15.0","7.5","2.5",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001 301","14","3.125",".","35.7","35.7","14.3",".",".",".","7.1",".",".",".",".",".","7.1",".","."
"Directed Study","299
030","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics in EAS","300
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301
001 301","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303
001 301","25","3.239","24.0","28.0","12.0","24.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"","311
001 302","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001 305","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001 301","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","317
001 301","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001 302","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001 301","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001 307","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001 306","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","4","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","327
001 301","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese I","330
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","336
001 302","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","336
001 303","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","336
001 304","1","0.000",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".","."
"","336
001 301","2","2.000",".",".",".",".","50.0",".",".","50.0",".",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","Course Total","5","2.250","20.0",".","20.0",".","20.0",".","20.0","20.0",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341
001","42","3.738","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 207 of 441",""
