"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"660
MUSIC","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 304","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 305","22","3.714","63.6","9.1","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","101
001 302","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 306","19","3.474","26.3","52.6","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
001 307","19","3.528","26.3","47.4","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","101
001 301","20","3.711","65.0","10.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","101
001 308","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 303","21","3.950","85.7","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"The Musical Experience","Course Total","157","3.680","54.1","26.1","15.9","0.6","0.6",".",".","1.9",".",".",".",".","0.6",".",".","."
"","103
001 303","14","3.000","21.4","7.1","21.4","21.4","14.3",".",".","7.1",".",".",".",".",".","7.1",".","."
"","103
001 301","11","2.773","9.1","18.2","27.3","9.1","36.4",".",".",".",".",".",".",".",".",".",".","."
"","103
001 302","10","3.100","20.0","10.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","Course Total","35","2.955","17.1","11.4","28.6","20.0","17.1",".",".","2.9",".",".",".",".",".","2.9",".","."
"","105
001 304","20","3.417","50.0","5.0","20.0",".","5.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"","105
001 302","21","3.550","57.1","19.0","4.8",".","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"","105
001 303","19","3.250","42.1","10.5","15.8","5.3","21.1",".",".",".",".",".",".",".","5.3",".",".","."
"","105
001 301","21","3.605","57.1","14.3","4.8","9.5","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Opera","Course Total","81","3.460","51.9","12.3","11.1","3.7","11.1","2.5",".","4.9",".",".",".",".","2.5",".",".","."
"","111
001","20","3.600","45.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","24","3.792","91.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","44","3.705","70.5","13.6","13.6",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Music in Performance","113
001","492","3.954","87.6","3.7","2.4",".",".",".",".","5.7",".",".",".",".",".","0.6",".","."
"","121
001 301","14","3.143","7.1","35.7","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","121
001 302","16","3.156","12.5","25.0","50.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","30","3.150","10.0","30.0","46.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","121
002 304","13","3.231","15.4","30.8","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002 305","13","3.269","30.8","7.7","53.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","121
002 303","12","3.250","16.7","33.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","38","3.250","21.1","23.7","44.7","5.3","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","68","3.206","16.2","26.5","45.6","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","37","3.556","67.6","16.2","2.7",".","5.4",".","5.4","2.7",".",".",".",".",".",".",".","."
"","171
101","14","3.179","14.3","28.6","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","171
102","16","3.219","18.8","18.8","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","13","3.231","7.7","30.8","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","68","3.257","19.1","25.0","47.1","5.9","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"Music and Society","201
001","27","3.577","37.0","37.0","22.2",".",".",".",".",".",".",".",".",".",".",".",".","3.7"
"The Big Bands","205
001","302","3.491","40.1","24.2","19.5","7.6","2.3",".",".","5.3",".",".",".",".","0.7",".","0.3","."
"","211
001 304","11","3.091","18.2","9.1","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","211
001 301","13","3.269","30.8","23.1","30.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","211
001 303","16","3.156","43.8","12.5","6.3","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","211
001 302","11","3.400","45.5","18.2","9.1",".","18.2",".",".",".",".",".",".",".","9.1",".",".","."
"Survey-Hist Western Music","Course Total","51","3.220","35.3","15.7","23.5","3.9","15.7","3.9",".",".",".",".",".",".","2.0",".",".","."
"","221
001 302","9","3.500","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".","33.3",".",".","."
"","221
001 301","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","20","3.618","45.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".","15.0",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 290 of 441",""
