"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","N","NR","Other"
"766
PL PATH","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"","123
001 301","","2","3.500",".","50.0",".",".",".",".","",".",".",".",".",".",".","",".","50.0",".","."
"","123
001 304","","2","3.250","50.0",".",".","50.0",".",".","",".",".",".",".",".",".","",".",".",".","."
"","123
001 302","","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","123
001 305","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","123
001 308","","2","2.500",".",".","50.0",".",".","50.0","",".",".",".",".",".",".","",".",".",".","."
"","123
001 307","","3","2.500",".",".","33.3","33.3","33.3",".","",".",".",".",".",".",".","",".",".",".","."
"Plants, Parasites, & People","Course Total","","11","2.950","18.2","9.1","27.3","18.2","9.1","9.1","",".",".",".",".",".",".","",".","9.1",".","."
"","299
014","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","299
024","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Study","Course Total","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","300
001 303","","19","3.553","42.1","26.3","31.6",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","300
001 302","","21","3.476","33.3","33.3","28.6","4.8",".",".","",".",".",".",".",".",".","",".",".",".","."
"Intro to Plant Pathology","Course Total","","40","3.513","37.5","30.0","30.0","2.5",".",".","",".",".",".",".",".",".","",".",".",".","."
"Disease-Landscp Trees&Shrub","309
001 301","","24","3.563","58.3","20.8","8.3",".","12.5",".","",".",".",".",".",".",".","",".",".",".","."
"Soil Biology","323
001","","6","3.100","16.7","16.7","33.3",".",".","16.7","",".",".",".",".",".",".","","16.7",".",".","."
"Ecol&Epidemiol-Plt Diseases","602
001","","21","3.833","66.7","33.3",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Colloquium in Env Tox","606
001","","3","3.667","66.7",".","33.3",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Plant-Bacterial Interactns","622
001","","5","3.333","60.0",".","20.0",".","20.0",".","",".",".",".",".",".",".","",".",".",".","."
"Gen Virology-Multiplication","640
001","","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
003","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
009","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
014","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","699
034","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Special Problems","Course Total","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","799
009","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","799
034","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","799
039","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Pract-Plant Pathology Tchg","Course Total","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Special Topics","875
030","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar","923
001","","34","4.000","8.8",".",".",".",".",".","",".","91.2",".",".",".",".","",".",".",".","."
"","990
002","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
003","","3","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
005","","3","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
006","","5","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
009","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
013","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
014","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
015","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
024","","6","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
027","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
028","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
032","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
034","","5","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
035","","5","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
036","","2","",".",".",".",".",".",".","",".","50.0","50.0",".",".",".","",".",".",".","."
"","990
039","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0","",".",".",".","."
"Research","Course Total","","39","",".",".",".",".",".",".","",".","33.3","2.6",".",".","64.1","",".",".",".","."
