"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"Animal Biology Laboratory","Course Total","570","3.606","53.0","24.0","18.4","3.2","0.5","0.2","0.7",".",".",".",".",".",".",".",".","."
"","151
001 309 6","20","2.150",".","10.0","20.0","20.0","35.0",".","15.0",".",".",".",".",".",".",".",".","."
"","151
001 308 6","12","2.750","8.3","16.7","25.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"","151
001 307 6","16","3.167","12.5","6.3","75.0",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","151
001 306 6","21","3.024","9.5","9.5","61.9","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"","151
001 305 6","18","2.694","16.7","5.6","27.8","22.2","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"","151
001 304 6","15","3.067","26.7",".","53.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","151
001 303 6","17","3.265","35.3","5.9","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","151
001 302 6","19","3.105","21.1","5.3","57.9","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","151
001 301 6","16","2.688","6.3","18.8","37.5","6.3","25.0",".","6.3",".",".",".",".",".",".",".",".","."
"","151
001 310 6","14","2.571","7.1","21.4","21.4","7.1","35.7",".","7.1",".",".",".",".",".",".",".",".","."
"","Section Total","168","2.844","14.3","9.5","42.9","10.7","16.7","1.8","3.6",".",".",".",".",".",".",".","0.6","."
"","151
002 314 6","20","2.975","15.0","10.0","50.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","151
002 320 6","20","2.750","25.0",".","35.0",".","30.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","151
002 319 6","21","2.684","4.8","4.8","42.9","4.8","23.8","9.5",".",".",".",".",".",".","4.8",".","4.8","."
"","151
002 318 6","20","2.605","5.0",".","45.0","5.0","30.0","10.0",".",".",".",".",".",".","5.0",".",".","."
"","151
002 317 6","21","3.310","38.1","9.5","38.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","151
002 315 6","21","3.048","9.5","23.8","42.9","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","151
002 313 6","19","3.184","21.1","15.8","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","151
002 312 6","19","3.083","10.5","15.8","52.6","10.5","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","151
002 311 6","21","3.071","28.6","9.5","33.3","4.8","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","151
002 316 6","21","3.048","19.0",".","66.7",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","Section Total","203","2.980","17.7","8.9","45.3","5.9","15.3","4.4","0.5",".",".",".",".",".","1.5",".","0.5","."
"","151
003 327 6","17","2.618","5.9",".","58.8","5.9","17.6","5.9","5.9",".",".",".",".",".",".",".",".","."
"","151
003 321 6","20","2.650","10.0","5.0","35.0","5.0","40.0","5.0",".",".",".",".",".",".",".",".",".","."
"","151
003 322 6","20","2.725","10.0","10.0","45.0","5.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","151
003 323 6","20","3.025","10.0","25.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","151
003 324 6","21","2.975","14.3","9.5","47.6","4.8","19.0",".",".",".",".",".",".",".",".",".",".","4.8"
"","151
003 325 6","19","2.842","15.8","5.3","42.1","5.3","15.8","15.8",".",".",".",".",".",".",".",".",".","."
"","151
003 326 6","18","2.833","5.6","16.7","38.9","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"","151
003 328 6","18","2.972","22.2","5.6","38.9","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","151
003 330 6","14","2.821","7.1","14.3","42.9","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"","151
003 329 6","15","2.700",".","13.3","40.0","20.0","26.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","182","2.820","10.4","10.4","42.9","8.8","22.0","3.8","1.1",".",".",".",".",".",".",".",".","0.5"
"Introductory Biology","Course Total","553","2.886","14.3","9.6","43.8","8.3","17.9","3.4","1.6",".",".",".",".",".","0.5",".","0.4","0.2"
"","152
001 305 6","17","3.094","11.8","23.5","41.2","5.9","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"","152
001 301 6","16","3.300","18.8","31.3","37.5",".",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"","152
001 302 6","18","3.194","33.3","16.7","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","152
001 304 6","20","3.263","30.0","15.0","35.0","5.0","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"","152
001 306 6","17","3.167","23.5","17.6","29.4",".","11.8","5.9",".",".",".",".",".",".","11.8",".",".","."
"","152
001 307 6","14","3.150","21.4","7.1","21.4","14.3","7.1",".",".",".",".",".",".",".","28.6",".",".","."
"","152
001 308 6","19","3.079","15.8","10.5","57.9","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","152
001 309 6","19","3.176","31.6","10.5","21.1","10.5","15.8",".",".",".",".",".",".",".","10.5",".",".","."
"","152
001 310 6","19","3.111","15.8","5.3","63.2","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","152
001 303 6","20","3.026","25.0","15.0","25.0",".","30.0",".",".",".",".",".",".",".",".",".",".","5.0"
"Introductory Biology","Course Total","179","3.154","22.9","15.1","35.8","5.6","12.3","1.1",".",".",".",".",".",".","6.7",".",".","0.6"
"","160
001 306","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 301","3","2.000","33.3",".",".",".",".","33.3","33.3",".",".",".",".",".",".",".",".","."
