"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"120
L SC COM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001","20","3.200","35.0","15.0","25.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","100
002","19","3.333","10.5","42.1","42.1",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"","100
004","17","3.588","52.9","29.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
005","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.344","43.8","25.0","6.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","100
007","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","105","3.486","43.8","26.7","18.1","2.9","4.8","2.9",".",".",".",".",".",".",".","1.0",".","."
"Sci&Technology Newswriting","111
001","19","3.500","42.1","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","18","3.194","33.3","16.7","38.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","212
005","10","3.000","10.0","10.0","40.0","30.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intro-Scientific Communication","Course Total","49","3.490","53.1","12.2","22.4","6.1","2.0",".","2.0",".",".",".",".",".","2.0",".",".","."
"","299
012","6","3.571","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"","299
025","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
029","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
035","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","13","3.778","76.9","7.7",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Feature Writing","320
001","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Special Topics","Course Total","12","3.900","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","399
012","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
026","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
035","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","20","3.550","45.0","40.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","5","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001 301","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
003","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","7","3.400","28.6",".","42.9",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Intro: Non-Theatrical Film","615
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
