"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"252
COM DIS","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","799
009","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
013","","6","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
023","","3","3.750","33.3","33.3",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","799
036","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.750","54.5","27.3","9.1",".","",".","",".","",".",".",".",".",".",".","9.1",".",".","."
"Acoust,Electroacoust&Calibr","801
001","","9","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Anat, Physiol&Psychophysics","802
001","","10","3.800","60.0","40.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Basic Audiometry","821
001 301","","9","3.556","66.7",".","22.2",".","","11.1","",".","",".",".",".",".",".",".",".",".",".","."
"Acoustic-Immittance Measure","824
001","","13","3.846","69.2","30.8",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Neurodiagnostic Audiology","825
001 301","","13","3.962","92.3","7.7",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pediatric Audiology","832
001","","13","3.577","30.8","53.8","15.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","840
001","","10","3.550","30.0","50.0","20.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","900
001","","10","4.000","90.0",".",".",".","",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"","910
001 301","","22","3.636","31.8","63.6","4.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","910
002 302","","13","3.577","38.5","38.5","23.1",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Pathology","Course Total","","35","3.614","34.3","54.3","11.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Lang Pathology-Adults","942
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
009","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
020","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
023","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
035","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
036","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
040","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".","",".","",".","",".","85.7",".",".",".","14.3",".",".",".","."
"","999
025","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
040","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
