"LIBRARY & INFORMATION STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","N","NR","Other"
"544
L I S","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","001","","94","3.787","64.9","25.5","3.2",".",".","",".","1.1","1.1","",".",".","",".","",".","2.1","2.1",".","."
"","551","001 301","","17","3.794","64.7","29.4","5.9",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","551","001 302","","19","3.921","84.2","15.8",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Organization of Information","","Course Total","","36","3.861","75.0","22.2","2.8",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Information Sources","571","001","","39","3.821","66.7","30.8","2.6",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Music Resrch Mthds & Matls","619","001","","3","3.667","66.7",".","33.3",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","620","001","","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Childrens Literature","622","001","","32","3.694","50.0","40.6","3.1",".","3.1","",".",".",".","",".",".","",".","",".",".","3.1",".","."
"Topics-Library&Informatn St","640","003","","13","3.917","76.9","15.4",".",".",".","",".",".",".","",".",".","",".","",".","7.7",".",".","."
"School Library/Media Center","641","001","","14","3.821","85.7","7.1",".",".","7.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"Reading Interests of Adults","642","001","","15","3.633","40.0","46.7","13.3",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","651","001 302","","15","3.767","66.7","20.0","13.3",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","651","001 301","","17","3.912","82.4","17.6",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Cataloging & Classification","","Course Total","","32","3.844","75.0","18.8","6.3",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Info Services Management","654","001","","54","3.689","48.1","38.9","11.1",".",".","",".",".",".","",".",".","",".","",".",".",".","1.9","."
"College & Univ Libraries","722","001","","31","3.600","41.9","32.3","22.6",".",".","",".",".",".","",".",".","",".","",".",".",".","3.2","."
"Corporate&Special Info Serv","732","001","","11","3.864","81.8","9.1","9.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Modern Archives Adm","734","001","","26","3.750","61.5","26.9","11.5",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Reference & Info Service","825","001","","25","3.804","56.0","36.0",".",".",".","",".",".","4.0","",".",".","",".","",".",".",".","4.0","."
"Topics-Info Agency Managemt","855","001","","5","3.600","40.0","40.0","20.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875","001","","16","3.826","68.8","18.8","6.3",".",".","",".",".",".","",".",".","",".","",".","6.3",".",".","."
"Smr-Info Storage & Retrievl","975","001","","11","3.778","54.5","18.2","9.1",".",".","",".",".",".","",".",".","",".","",".","18.2",".",".","."
"Probs-Archives: Manuscripts","976","001","","9","3.688","55.6","22.2",".","11.1",".","",".",".","11.1","",".",".","",".","",".",".",".",".","."
"","990","004","","3","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","008","","8","",".",".",".",".",".","",".",".","87.5","",".",".","",".","",".","12.5",".",".","."
"","990","014","","2","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","","13","",".",".",".",".",".","",".",".","92.3","",".",".","",".","",".","7.7",".",".","."
"","999","003","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","999","004","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","005","","3","2.500",".",".","33.3",".","33.3","",".",".",".","",".",".","",".","",".","33.3",".",".","."
"","999","006","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","007","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","008","","6","4.000","83.3",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","16.7","."
"","999","011","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","999","014","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","999","015","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","18","3.769","66.7",".","5.6",".","5.6","",".",".",".","",".",".","",".","",".","16.7",".","5.6","."
