"AMN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDIE Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","N","NR","Other"
"102
A F AERO","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"101
001 501","","13","3.654","61.5","7.7","30.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"101
002 501","","10","3.650","60.0","10.0","30.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Foundations of US Air Force I
Course Total","","23","3.652","60.9","8.7","30.4",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"201
001 501","","9","3.556","66.7","11.1",".","11.1","11.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"201
002 501","","9","3.556","44.4","22.2","33.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Evolution of US Air & Space I
Course Total","","18","3.556","55.6","16.7","16.7","5.6","5.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Studies I
303
001 501","","18","3.917","88.9","5.6","5.6",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"National Security Affairs
401
001 501","","22","3.818","77.3","13.6","4.5","4.5",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"102
A F AERO
Dept. Total","","81","3.798","70.4","11.1","14.8","2.5","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","3.667","61.1","11.1","27.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","21","3.609","57.1","14.3","19.0","4.8","4.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","21","3.856","81.0","9.5","4.8","4.8",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","19","3.842","78.9","10.5","10.5",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","79","3.793","69.6","11.4","15.2","2.5","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","81","3.798","70.4","11.1","14.8","2.5","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
