"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"908
SOIL SCI","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Soil: Ecosystem & Resource","230
001","","22","3.091","31.8","22.7","27.3","4.5","4.5",".","9.1",".",".",".",".",".",".",".",".","."
"","301
001 304","","8","2.938","37.5","12.5",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","301
001 301","","11","3.050","36.4",".","9.1","27.3","9.1","9.1",".",".",".",".",".",".","9.1",".",".","."
"","301
001 305","","9","2.813","11.1","22.2","11.1","11.1","22.2","11.1",".",".",".",".",".",".",".","11.1",".","."
"","301
001 302","","11","2.909","18.2","27.3","27.3","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","301
001 303","","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"General Soil Science","Course Total","","46","2.977","26.1","17.4","13.0","13.0","19.6","4.3","2.2",".",".",".",".",".","2.2","2.2",".","."
"Field Study of Soil","305
001","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Biology","323
001","","19","3.528","42.1","26.3","15.8","10.5",".",".",".",".",".",".",".",".","5.3",".",".","."
"Soils and Envrnmtl Quality","324
001","","16","3.467","31.3","43.8","6.3","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","325
001 302","","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","325
001 303","","9","3.438","44.4","22.2",".","11.1","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"","325
001 301","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Pedology","Course Total","","23","3.571","52.2","21.7","4.3","4.3","8.7",".",".","4.3",".",".",".",".","4.3",".",".","."
"Nutrient Managmnt:Turfgrass","332
001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrnt Mgmt:Agronomic Crops","334
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".","."
"Special Topics","375
001","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532
001","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Colloquium in Env Tox","606
001","","5","3.250","20.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"","695
001 301","","5","3.000",".","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","695
001 302","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","Course Total","","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
011","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
037","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
038","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","728
001","","20","3.800","15.0","10.0",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","990
003","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
006","","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
008","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
023","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
024","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
037","","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
040","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
041","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
042","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
043","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
044","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
046","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","23","",".",".",".",".",".",".",".","56.5",".",".",".","43.5",".",".",".","."
