"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Senior Thesis","Course Total","","3","4.000","66.7",".",".",".","",".","",".","",".",".",".",".",".","33.3",".",".",".","."
"","698
021","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
046","","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
048","","10","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","698
059","","4","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","16","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","699
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
005","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
009","","21","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
015","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
017","","4","3.778","75.0",".","25.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
018","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
019","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
021","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
024","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
027","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
033","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
034","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
040","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
047","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
050","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
055","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
063","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
065","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
068","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","","62","3.979","93.5","1.6","1.6",".","",".","",".","",".",".",".",".",".",".","3.2",".",".","."
"Interdis Smr-Animal Behav","950
001","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys","954
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Limnology","955
001","","11","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar-Evolution","957
001","","12","4.000","83.3",".",".",".","",".","",".","",".",".",".",".",".",".","8.3",".","8.3","."
"Seminar-Ethology","962
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Developmental Biology","965
001","","9","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
008","","4","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
009","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
014","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
015","","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
017","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
021","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
024","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
027","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
030","","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
033","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
034","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
037","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
040","","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 366 of 441",""
