"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"250
COM ARTS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","260
001 301","18","2.971","11.1","38.9","16.7","11.1","5.6","5.6","5.6",".",".",".",".",".","5.6",".",".","."
"Communication & Human Behav","Course Total","167","3.131","13.8","38.9","24.0","9.6","4.8","5.4","1.8",".",".",".",".",".","1.2",".","0.6","."
"","262
001 303","14","3.250","14.3","42.9","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","262
001 306","16","3.031","18.8","18.8","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","262
001 304","13","3.269","7.7","53.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001 302","16","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001 301","15","3.067","13.3","26.7","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","262
001 305","17","3.188",".","52.9","29.4","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Thry&Pract-Argument&Debate","Course Total","91","3.194","13.2","38.5","27.5","13.2","5.5","1.1",".",".",".",".",".",".","1.1",".",".","."
"","266
001 301","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","266
001 303","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","266
001 304","13","3.269","30.8","23.1","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","266
001 305","17","3.529","41.2","35.3","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","266
001 306","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","266
001 302","19","3.079",".","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","Course Total","101","3.441","31.7","33.7","28.7","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","272
001 301","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","272
001 302","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","272
001 303","18","3.250","44.4","27.8","5.6",".","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
