"L&S","","","","","","","","","","","","","","","","","","",""
"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"550
LINGUIS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 402","29","2.569","17.2","10.3","17.2","6.9","31.0","10.3","6.9",".",".",".",".",".",".",".",".","."
"","101
001 403","29","2.328","10.3","3.4","34.5",".","27.6","10.3","13.8",".",".",".",".",".",".",".",".","."
"","101
001 404","26","2.577","11.5","7.7","19.2","23.1","26.9","7.7","3.8",".",".",".",".",".",".",".",".","."
"","101
001 409","27","2.759","11.1","14.8","37.0","3.7","22.2","7.4","3.7",".",".",".",".",".",".",".",".","."
"","101
001 406","24","3.104","20.8","12.5","45.8","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","101
001 407","32","2.609","15.6","9.4","28.1",".","37.5","3.1","6.3",".",".",".",".",".",".",".",".","."
"","101
001 401","27","2.852","14.8","7.4","44.4",".","29.6","3.7",".",".",".",".",".",".",".",".",".","."
"","101
001 405","28","2.778","14.3","10.7","32.1","10.7","25.0",".","3.6",".",".",".",".",".","3.6",".",".","."
"","101
001 408","21","3.024","9.5","28.6","38.1","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"Human Language","Course Total","243","2.715","14.0","11.1","32.5","6.2","25.5","5.8","4.5",".",".",".",".",".","0.4",".",".","."
"","301
001","18","3.528","55.6","16.7","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","9","3.563","55.6",".","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Intro Ling-Descript&Theoret","Course Total","27","3.538","55.6","11.1","18.5","3.7","7.4",".",".",".",".",".",".",".",".","3.7",".","."
"Phonology","310
001","19","3.421","36.8","26.3","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Syntax","330
001","19","3.289","31.6","15.8","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Language, Race, and Identity","365
001","16","3.375","31.3","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373
001","12","3.208","25.0","25.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","481
007","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".","50.0",".","."
"Advanced Morphology","522
001","3","4.000","33.3",".",".",".",".",".",".","33.3",".",".",".",".","33.3",".",".","."
"Advanced Semantics","540
001","4","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Experimntl Phonetics","561
001","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Independent Reading","Course Total","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Seminar","977
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
010","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
011","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
013","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
038","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","12","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
