"L&S","","","","","","","","","","","","","","","","","","","","","",""
"AFRO-AMERICAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"106
AFROAMER","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Hist-Civ Rghts Movmnt in US","628
001","","31","2.887","6.5","48.4","19.4","6.5","6.5","","3.2","","9.7",".",".",".",".",".",".",".",".","."
"","671
001","","15","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","671
002","","13","3.269","23.1","38.5","15.4","15.4","7.7","",".","",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","Course Total","","28","3.661","64.3","17.9","7.1","7.1","3.6","",".","",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674
001","","7","3.700","28.6","42.9",".",".",".","",".","",".","14.3",".",".",".",".","14.3",".",".","."
"Topics in Afro-Amer Culture","675
001","","24","3.667","45.8","12.5","12.5","4.2",".","",".","",".","12.5",".",".",".",".","12.5",".",".","."
"Senior Honor Thesis","682
017","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
010","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
013","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
017","","3","4.000","66.7",".",".",".",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"","699
019","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
022","","17","3.609","52.9","5.9","23.5",".",".","",".","",".",".",".",".",".",".","17.6",".",".","."
"Directed Study-Afro-Am Stdy","Course Total","","23","3.664","52.2","8.7","17.4",".",".","",".","",".",".",".",".",".",".","21.7",".",".","."
"","790
013","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
017","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
019","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","790
022","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","",".",".",".",".",".","",".","",".","75.0",".",".",".","25.0",".",".",".","."
