"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"741
DANCE","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","1
001","31","3.438","35.5","19.4","16.1","3.2",".","",".","3.2","16.1",".",".",".",".","6.5",".",".","."
"","1
002","14","3.750","50.0","28.6","7.1",".",".","",".",".","14.3",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","45","3.542","40.0","22.2","13.3","2.2",".","",".","2.2","15.6",".",".",".",".","4.4",".",".","."
"Modern Dance I","11
001","23","3.850","78.3",".","4.3",".","4.3","",".",".","13.0",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111
001","21","3.600","33.3","47.6","14.3",".",".","",".",".","4.8",".",".",".",".",".",".",".","."
"","12
001","16","3.857","81.3",".",".",".","6.3","",".",".","12.5",".",".",".",".",".",".",".","."
"","12
002","10","3.556","70.0",".",".",".","20.0","",".",".",".",".",".",".",".","10.0",".",".","."
"Modern Dance II","Course Total","26","3.739","76.9",".",".",".","11.5","",".",".","7.7",".",".",".",".","3.8",".",".","."
"Ballet Technique I","125
001","28","3.037","10.7","28.6","32.1","7.1","17.9","",".",".",".",".",".",".",".","3.6",".",".","."
"Rhythmic Movement Lab I","144
001","22","4.000","95.5",".",".",".",".","",".",".",".",".",".",".",".","4.5",".",".","."
"Movemnt as Matl Thru Improv","151
001","26","3.500","34.6","38.5","19.2","7.7",".","",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","20","4.000","95.0",".",".",".",".","",".",".","5.0",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","21","3.711","42.9","42.9","4.8",".",".","",".",".",".",".",".",".",".","9.5",".",".","."
"","21
001","18","3.694","44.4","50.0","5.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","21
002","19","3.500","10.5","52.6","10.5",".",".","",".",".","15.8",".",".",".",".","5.3","5.3",".","."
"Ballet I","Course Total","37","3.609","27.0","51.4","8.1",".",".","",".",".","8.1",".",".",".",".","2.7","2.7",".","."
"Modern Dance Technique III","211
001","17","3.559","41.2","29.4","29.4",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","22
001","19","3.882","68.4","21.1",".",".",".","",".",".","10.5",".",".",".",".",".",".",".","."
"","22
002","10","3.875","60.0","20.0",".",".",".","",".",".","10.0",".",".",".",".","10.0",".",".","."
"Ballet II","Course Total","29","3.880","65.5","20.7",".",".",".","",".",".","10.3",".",".",".",".","3.4",".",".","."
"Survey-Interarts & Technology","260
001","18","3.781","50.0","38.9",".",".",".","",".",".",".",".",".",".",".","11.1",".",".","."
"Modern Jazz Dance","31
001","28","3.680","46.4","28.6","14.3",".",".","",".",".","7.1",".",".",".",".",".","3.6",".","."
"Modern Dance Technique V","311
001","17","3.618","29.4","64.7","5.9",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32
001","32","3.550","31.3","40.6","21.9",".",".","",".",".",".",".",".",".",".",".","6.3",".","."
"Ballet Technique III","325
001","24","3.083","8.3","29.2","41.7","12.5","8.3","",".",".",".",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","22","3.905","86.4",".","9.1",".",".","",".",".",".",".",".",".",".","4.5",".",".","."
"Javanese Performance","353
001","11","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","399
002","2","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","399
004","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","399
006","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","399
011","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","399
055","7","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","399
063","2","3.667","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","Course Total","15","3.952","66.7","6.7",".",".",".","",".",".",".",".",".",".",".","26.7",".",".","."
"","41
001","28","3.800","46.4","21.4","3.6",".",".","",".",".","28.6",".",".",".",".",".",".",".","."
"","41
002","30","3.920","70.0","13.3",".",".",".","",".",".","16.7",".",".",".",".",".",".",".","."
"","41
003","40","3.847","75.0","5.0","7.5","2.5",".","",".",".","7.5","2.5",".",".",".",".",".",".","."
"","41
004","39","3.986","87.2","2.6",".",".",".","",".",".","2.6","2.6",".",".",".","2.6","2.6",".","."
"","41
005","37","3.959","91.9","8.1",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","41
006","28","3.946","89.3","10.7",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","41
007","42","3.821","69.0","14.3","9.5",".",".","",".",".","4.8",".",".",".",".",".","2.4",".","."
"Ballroom Dancing","Course Total","244","3.900","76.2","10.2","3.3","0.4",".","",".",".","7.8","0.8",".",".",".","0.4","0.8",".","."
"","42
001","19","3.941","84.2",".","5.3",".",".","",".",".","10.5",".",".",".",".",".",".",".","."
"","42
002","12","3.625","41.7","8.3","8.3","8.3",".","",".",".","33.3",".",".",".",".",".",".",".","."
"Ballroom Dance II","Course Total","31","3.840","67.7","3.2","6.5","3.2",".","",".",".","19.4",".",".",".",".",".",".",".","."
