"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
072","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
107","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research in English","Course Total","80","",".",".",".",".",".",".",".","20.0","3.8",".",".","76.3",".",".",".","."
"Independent Reading","999
046","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"350
ENGLISH","Dept. Total","5584","3.323","27.7","26.4","22.4","7.2","3.7","0.7","1.2","0.7","0.1","6.7","0.1","1.2","1.7","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1458","3.354","27.1","33.0","23.0","7.4","2.7","0.4","1.1",".",".","4.7",".",".","0.4","0.3",".","."
"Sophomore","","1337","3.258","24.0","29.1","26.6","9.1","4.5","0.4","1.6","0.2",".","3.1","0.1",".","0.8","0.4",".","."
"Junior","","1095","3.226","26.3","24.7","26.7","8.9","5.5","1.3","1.7","0.5",".","2.1",".","0.2","1.8","0.5",".","."
"Senior","","1094","3.349","32.6","26.9","23.1","6.5","4.1","1.1","1.1","0.3",".","1.1",".","0.5","2.4","0.2","0.2","."
"Undergraduates","","4984","3.298","27.3","28.8","24.8","8.0","4.1","0.8","1.4","0.2",".","2.9","0.0","0.1","1.3","0.3","0.0","."
"Special","","120","3.636","19.2","10.0","6.7","0.8",".",".",".","4.2",".","54.2","0.8",".","2.5","0.8","0.8","."
"Graduate","","480","3.882","34.2","5.8","1.7","0.2",".",".",".","4.8","0.6","34.4",".","12.7","5.6",".",".","."
"","Dept. Total","5584","3.323","27.7","26.4","22.4","7.2","3.7","0.7","1.2","0.7","0.1","6.7","0.1","1.2","1.7","0.3","0.1","."
