"AFRO-AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"106
AFROAMER","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151
001","19","3.368","36.8","31.6","5.3","21.1","5.3",".",".",".",".",".",".",".","",".",".",".","."
"","156
001 309","26","3.196","7.7","30.8","38.5","11.5",".",".",".","11.5",".",".",".",".","",".",".",".","."
"","156
001 302","23","3.119","13.0","26.1","34.8","4.3","13.0",".",".","8.7",".",".",".",".","",".",".",".","."
"","156
001 303","23","3.450","30.4","21.7","30.4","4.3",".",".",".","13.0",".",".",".",".","",".",".",".","."
"","156
001 304","23","3.478","34.8","26.1","39.1",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","156
001 305","24","3.159","25.0","12.5","33.3","8.3","12.5",".",".","8.3",".",".",".",".","",".",".",".","."
"","156
001 306","24","3.083","20.8","16.7","37.5","8.3","8.3","8.3",".",".",".",".",".",".","",".",".",".","."
"","156
001 308","24","3.021","8.3","29.2","33.3","16.7","8.3","4.2",".",".",".",".",".",".","",".",".",".","."
"","156
001 301","27","3.365","33.3","14.8","40.7","3.7","3.7",".",".","3.7",".",".",".",".","",".",".",".","."
"","156
001 307","21","3.214","19.0","28.6","38.1","4.8","9.5",".",".",".",".",".",".",".","",".",".",".","."
"Black Music&Am Cultrl Hist","Course Total","215","3.230","21.4","22.8","36.3","7.0","6.0","1.4",".","5.1",".",".",".",".","",".",".",".","."
"Directed Study","199
022","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","231
001 301","29","3.190","27.6","17.2","31.0","13.8","6.9","3.4",".",".",".",".",".",".","",".",".",".","."
"","231
001 302","29","3.173","20.7","17.2","31.0","13.8","6.9",".",".","6.9",".",".",".",".","",".","3.4",".","."
"","231
001 304","20","3.278","30.0","15.0","25.0","15.0",".","5.0",".","10.0",".",".",".",".","",".",".",".","."
"","231
001 303","19","3.342","36.8","15.8","26.3","21.1",".",".",".",".",".",".",".",".","",".",".",".","."
"Intro to Afro-Am History","Course Total","97","3.234","27.8","16.5","28.9","15.5","4.1","2.1",".","4.1",".",".",".",".","",".","1.0",".","."
"Heroes, Rogues & Scoundrels","237
001","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","267
001 302","26","2.942","3.8","34.6","34.6","15.4","7.7",".","3.8",".",".",".",".",".","",".",".",".","."
"","267
001 301","25","3.260","12.0","52.0","16.0","16.0","4.0",".",".",".",".",".",".",".","",".",".",".","."
"","267
001 304","20","3.225","15.0","25.0","50.0","10.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","267
001 303","24","3.229","16.7","33.3","37.5","4.2","8.3",".",".",".",".",".",".",".","",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","Course Total","95","3.158","11.6","36.8","33.7","11.6","5.3",".","1.1",".",".",".",".",".","",".",".",".","."
"","277
001 308","3","3.167","33.3","33.3",".",".","33.3",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 309","3","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 307","4","2.833",".","25.0","25.0",".","25.0",".",".",".",".",".",".",".","",".",".",".","25.0"
"","277
001 303","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 305","6","2.167",".",".","16.7",".","83.3",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 304","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 301","5","2.600",".","20.0","20.0","20.0","40.0",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 302","5","2.400",".",".","20.0","40.0","20.0","20.0",".",".",".",".",".",".","",".",".",".","."
"","277
001 306","3","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","277
001 310","5","2.900",".","20.0","40.0","40.0",".",".",".",".",".",".",".",".","",".",".",".","."
"Africa: Introductory Survey","Course Total","38","2.676","5.3","10.5","31.6","15.8","31.6","2.6",".",".",".",".",".",".","",".",".",".","2.6"
"","302
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","302
002","24","3.239","25.0","25.0","29.2","4.2","8.3","4.2",".",".",".",".",".",".","",".","4.2",".","."
"Undergrad St-Afroam History","Course Total","33","3.453","45.5","18.2","21.2","3.0","6.1","3.0",".",".",".",".",".",".","",".","3.0",".","."
"Blacks, Film, and Society","303
001","44","3.400","27.3","31.8","22.7","4.5","2.3","2.3",".","6.8",".",".",".",".","",".","2.3",".","."
"Black Mus(1920-Pres)-Trumpt","310
001","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Contemporary African Art","320
001","23","3.083","13.0","34.8","4.3","4.3","21.7",".",".","13.0",".",".",".",".","","4.3",".","4.3","."
"Intro:History-Caribbean Soc","347
001","39","3.141","25.6","23.1","25.6","15.4","7.7",".","2.6",".",".",".",".",".","",".",".",".","."
"Black Feminisms","423
001","16","2.900","25.0","18.8","12.5","12.5",".","18.8","6.3",".",".",".",".",".","","6.3",".",".","."
"Mutl Perceptns-Racl Minorty","443
001","15","3.000",".","40.0","20.0","13.3","13.3",".",".",".",".",".",".",".","13.3","",".",".","."
"Race,Gendr,Ethn-Labor Markt","460
001","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".","",".",".",".","."
"The Harlem Renaissance","602
001","22","3.476","40.9","18.2","27.3","9.1",".",".",".",".",".",".",".",".","","4.5",".",".","."
"The Black Arts Movement","603
001","13","3.462","46.2","30.8","7.7",".","15.4",".",".",".",".",".",".",".","",".",".",".","."
