"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"168
ART","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","912
058","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Research-Drawing","Course Total","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","914
009","","4","4.000","75.0",".",".",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"","914
014","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","914
020","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","914
058","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","914
077","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Sculpture","Course Total","","18","4.000","94.4",".",".",".","",".","",".","",".",".",".",".",".",".","5.6",".",".","."
"","922
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
005","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
010","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
021","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
024","","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
045","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
058","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
076","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
080","","7","3.885","85.7","14.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","922
090","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","","48","3.983","97.9","2.1",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Ceramics","924
003","","3","3.800","33.3","33.3",".",".","",".","",".","",".",".",".",".",".","33.3",".",".",".","."
"Adv Research-Watercolor","942
058","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Research-Art Metal","944
008","","6","3.833","33.3","16.7",".",".","",".","",".","",".",".",".",".",".","33.3","16.7",".",".","."
"","996
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","996
011","","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","996
012","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","996
058","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","996
067","","9","4.000","88.9",".",".",".","",".","",".","",".",".",".",".",".","11.1",".",".",".","."
"","996
069","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","996
071","","15","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","40","4.000","97.5",".",".",".","",".","",".","",".",".",".",".",".","2.5",".",".",".","."
"","999
002","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
003","","3","3.500","33.3","33.3","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
005","","9","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
008","","3","4.000","33.3",".",".",".","",".","",".","",".",".",".",".",".","66.7",".",".",".","."
"","999
009","","11","3.875","72.7","18.2",".",".","",".","",".","",".",".",".",".",".",".","9.1",".",".","."
"","999
010","","13","4.000","92.3",".",".",".","",".","",".","",".",".",".",".",".",".","7.7",".",".","."
"","999
011","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
012","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
014","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
020","","5","3.833","80.0","20.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
021","","8","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"","999
024","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
025","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
031","","7","3.846","85.7",".","14.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
034","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
042","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
057","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 76 of 441",""
