"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"237
MARKETNG","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","365
001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","11","3.545","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","26","3.635","46.2","42.3","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","415
001","","46","3.576","37.0","43.5","17.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","","47","3.500","29.8","42.6","23.4",".",".","2.1",".",".",".",".",".",".",".","2.1",".","."
"Marketing Communications","Course Total","","93","3.538","33.3","43.0","20.4","1.1",".","1.1",".",".",".",".",".",".",".","1.1",".","."
"","420
001","","38","3.513","36.8","36.8","21.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","420
002","","43","3.419","39.5","14.0","39.5","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","","81","3.463","38.3","24.7","30.9","3.7","2.5",".",".",".",".",".",".",".",".",".",".","."
"","425
001","","37","3.378","13.5","48.6","37.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","59","3.638","42.4","40.7","15.3",".",".",".",".",".",".",".",".",".",".","1.7",".","."
"Marketing Channels","Course Total","","96","3.537","31.3","43.8","24.0",".",".",".",".",".",".",".",".",".",".","1.0",".","."
"","460
001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","","30","3.483","33.3","50.0","13.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","460
003","","34","3.662","44.1","44.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","","76","3.579","39.5","44.7","14.5",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"","635
001","","45","3.852","73.3","20.0","4.4",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"","635
002","","40","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","Course Total","","85","3.720","52.9","36.5","9.4",".",".",".",".",".",".",".",".",".",".","1.2",".","."
"","700
001","","45","3.533","31.1","48.9","15.6","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","","42","3.583","26.2","64.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","","87","3.557","28.7","56.3","12.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","","39","3.897","84.6","10.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","","42","3.524","38.1","35.7","19.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","","30","3.617","53.3","16.7","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","25","3.750","48.0","48.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","765
002","","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","46","3.767","52.2","45.7",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","799
052","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799
131","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
