"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","409
001 302","","16","3.031","6.3","25.0","43.8","18.8","6.3",".","",".",".",".",".",".",".",".",".",".","."
"","409
001 303","","16","2.938","6.3","31.3","31.3","6.3","25.0",".","",".",".",".",".",".",".",".",".",".","."
"","409
001 304","","15","2.923","6.7","13.3","33.3","26.7","6.7",".","",".",".",".",".",".",".",".","13.3",".","."
"Central Europe 1648-1871","Course Total","","62","2.924","6.5","21.0","33.9","19.4","12.9","1.6","",".","1.6",".",".",".",".",".","3.2",".","."
"","412
001 301","","7","3.286","14.3","28.6","57.1",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 306","","15","3.400","26.7","26.7","46.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 303","","14","3.571","35.7","42.9","21.4",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 305","","12","3.455","33.3","16.7","41.7",".",".",".","",".",".",".",".",".",".","8.3",".",".","."
"","412
001 304","","17","3.588","41.2","35.3","23.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"History-American Education","Course Total","","65","3.484","32.3","30.8","35.4",".",".",".","",".",".",".",".",".",".","1.5",".",".","."
"","415
001 303","","17","3.412","23.5","41.2","29.4","5.9",".",".","",".",".",".",".",".",".",".",".",".","."
"","415
001 304","","17","3.125",".","52.9","23.5","5.9","11.8",".","",".","5.9",".",".",".",".",".",".",".","."
"","415
001 302","","17","3.529","41.2","41.2","5.9","5.9","5.9",".","",".",".",".",".",".",".",".",".",".","."
"","415
001 301","","19","3.250","31.6","15.8","21.1","21.1","5.3",".","",".","5.3",".",".",".",".",".",".",".","."
"History-National Socialism","Course Total","","70","3.331","24.3","37.1","20.0","10.0","5.7",".","",".","2.9",".",".",".",".",".",".",".","."
"","417
001 301","","20","3.352","10.0","40.0","35.0",".",".",".","",".","10.0",".",".",".",".","5.0",".",".","."
"","417
001 304","","13","3.404","15.4","61.5","15.4","7.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","417
001 303","","15","3.170",".","33.3","60.0",".",".",".","",".",".",".",".",".",".","6.7",".",".","."
"","417
001 302","","19","3.323","10.5","42.1","42.1",".",".",".","",".",".",".",".",".",".","5.3",".",".","."
"History of Russia","Course Total","","67","3.312","9.0","43.3","38.8","1.5",".",".","",".","3.0",".",".",".",".","4.5",".",".","."
"","433
001 303","","18","3.423","22.2","38.9","38.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","433
001 302","","18","3.417","11.1","66.7","16.7","5.6",".",".","",".",".",".",".",".",".",".",".",".","."
"","433
001 304","","19","3.474","21.1","52.6","26.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","433
001 301","","18","3.627","33.3","50.0",".","5.6",".",".","",".",".",".",".",".",".",".",".",".","11.1"
"Amer Foreign Rel, 1763-1901","Course Total","","73","3.480","21.9","52.1","20.5","2.7",".",".","",".",".",".",".",".",".",".",".",".","2.7"
"History of North Africa","440
001","","45","3.261","11.1","37.8","33.3","11.1",".",".","",".",".",".",".",".",".","2.2",".","4.4","."
"Modern India, 1860-1990","450
001","","37","3.489","40.5","40.5","10.8","5.4",".",".","","2.7",".",".",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457
001","","32","3.198","28.1","25.0","18.8","12.5","6.3",".","","3.1",".",".",".",".",".","6.3",".",".","."
"","461
001 301","","16","3.404","25.0","37.5","18.8","6.3","6.3",".","",".","6.3",".",".",".",".",".",".",".","."
"","461
001 304","","16","3.385","25.0","43.8","18.8","12.5",".",".","",".",".",".",".",".",".",".",".",".","."
"","461
001 303","","16","3.371","18.8","50.0","18.8","12.5",".",".","",".",".",".",".",".",".",".",".",".","."
"","461
001 302","","12","3.424","25.0","33.3","41.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"The American West to 1850","Course Total","","60","3.394","23.3","41.7","23.3","8.3","1.7",".","",".","1.7",".",".",".",".",".",".",".","."
"American Economy to 1865","465
001","","6","3.217","33.3","16.7","33.3",".","16.7",".","",".",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478
001","","31","3.242","25.8","16.1","45.2","6.5","3.2","3.2","",".",".",".",".",".",".",".",".",".","."
"","500
001","","11","3.500","45.5","18.2","27.3","9.1",".",".","",".",".",".",".",".",".",".",".",".","."
"","500
003","","15","3.607","46.7","33.3","6.7",".","6.7",".","",".",".",".",".",".",".",".","6.7",".","."
"","500
004","","8","3.438","12.5","62.5","25.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","500
005","","5","3.800","60.0","40.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","","39","3.566","41.0","35.9","15.4","2.6","2.6",".","",".",".",".",".",".",".",".","2.6",".","."
"Health, Disease & Healing I","507
001  601","","3","3.400","33.3","33.3",".","33.3",".",".","",".",".",".",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512
001","","37","3.087","13.5","16.2","27.0",".",".",".","","5.4","10.8",".",".",".",".","27.0",".",".","."
"Eur Cult Hist Since 1870","514
001","","42","3.333","31.0","16.7","42.9","7.1",".","2.4","",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515
001","","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"History of Social Sciences","536
001","","15","3.900","80.0","20.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","5","3.900","80.0","20.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 249 of 441",""
