"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHYSIOL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","121","2.542","7.4","5.0","36.4","2.5","26.4","17.4","3.3",".","",".",".","",".","",".",".",".","1.7","."
"Junior","159","2.680","21.4","5.0","28.3","4.4","24.5","12.6","3.1",".","",".",".","",".","",".",".",".","0.6","."
"Senior","98","3.077","41.8","7.1","25.5","1.0","19.4","3.1","2.0",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","379","2.733","22.2","5.5","30.3","2.9","23.7","11.6","2.9",".","",".",".","",".","",".",".",".","0.8","."
"Special","11","3.364","36.4","18.2","36.4",".","9.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","67","3.672","52.2",".","6.0","1.5","3.0",".",".","35.8","",".","1.5","",".","",".",".",".",".","."
"Prof Yr 1","80","3.141","33.8","3.8","37.5","1.3","16.3","5.0",".",".","",".",".","",".","",".","2.5",".",".","."
"Professionals","80","3.141","33.8","3.8","37.5","1.3","16.3","5.0",".",".","",".",".","",".","",".","2.5",".",".","."
