"ENGLISH","","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","N","NR","Other"
"350
ENGLISH","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"","723","001","13
3.542","30.8","38.5","23.1","",".","",".","",".","",".",".",".",".","",".",".","7.7",".",".","."
"","723","002","8
3.917","62.5","12.5","",".",".","",".","",".","",".","12.5",".",".","",".",".","12.5",".",".","."
"Crit Meth-Brit & Amer Lit","","Course Total","21
3.667","42.9","28.6","14.3","",".","",".","",".","",".","4.8",".",".","",".",".","9.5",".",".","."
"Chaucer & Courtly Tradition","751","001","13
3.923","84.6","15.4","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"18th Century British Novel","773","001","11
3.857","45.5","18.2","",".",".","",".","",".","",".",".",".",".","",".",".","36.4",".",".","."
"Graduate Fiction Workshop","781","001","10
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Creative Writing Pedagogy Smr","783","001","8
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"MFA Thesis","785","034","5
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Proseminar-Teaching of Writing","790","001","11",".",".","",".",".","",".","",".","",".",".",".","100.0","",".",".",".",".",".","."
"One-cedit Seminar","795","076","4
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"","799","046","4",".",".","",".",".","",".","",".","",".","75.0",".",".","",".",".","25.0",".",".","."
"","799","054","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"","799","064","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"","799","076","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Independent Reading","","Course Total","8
4.000","50.0",".","",".",".","",".","",".","",".","37.5",".",".","",".",".","12.5",".",".","."
"The English Romantic Period","801","001","14
3.900","64.3",".","","7.1",".","",".","",".","",".","7.1",".",".","",".",".","21.4",".",".","."
"Topics-20c Eng & Amer Lit","873","001","13
3.727","46.2","30.8","","7.7",".","",".","",".","",".",".",".",".","",".",".","15.4",".",".","."
"Smr-Appld English Linguistc","905","001","10
3.944","80.0","10.0","",".",".","",".","",".","",".",".",".",".","",".",".","10.0",".",".","."
"Spec Topics in Am Lit- 1914","949","001","12
3.833","66.7","33.3","",".",".","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Smr: Topics-Renaissance Lit","956","001","15
4.000","93.3",".","",".",".","",".","",".","",".",".",".",".","",".",".","6.7",".",".","."
"Seminar-20th C British Lit","975","001","14
3.846","64.3","28.6","",".",".","",".","",".","",".",".",".",".","",".",".","7.1",".",".","."
"","990","003","4",".",".","",".",".","",".","",".","",".",".","25.0",".","",".","75.0",".",".",".","."
"","990","006","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","009","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","010","3",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","012","2",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990","014","3",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","015","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","017","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","022","4",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","026","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","037","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990","038","3",".",".","",".",".","",".","",".","",".","33.3",".",".","",".","66.7",".",".",".","."
"","990","040","3",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","042","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990","044","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","046","5",".",".","",".",".","",".","",".","",".",".","20.0",".","",".","80.0",".",".",".","."
"","990","047","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","052","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","054","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","059","1",".",".","",".",".","",".","",".","",".",".","100.0",".","",".",".",".",".",".","."
"","990","060","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"","990","063","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","064","6",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","065","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","066","6",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0",".",".",".","."
"","990","068","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 224 of 441",""
