"L&S","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"820
PSYCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
017","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
023","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
024","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
027","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
029","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
032","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
034","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
035","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
039","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
040","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
044","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
051","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
053","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
057","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
065","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","58","",".",".",".",".",".",".",".","84.5",".",".",".","15.5",".",".",".","."
"820
PSYCH","Dept. Total","4557","3.027","31.4","14.1","16.9","11.8","17.1","4.1","1.6","1.5",".",".",".","0.7","0.7","0.1","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1107","2.886","20.9","17.0","16.8","15.5","20.8","6.6","1.9",".",".",".",".",".","0.3","0.1","0.2","."
"Sophomore","","989","2.904","23.5","15.0","17.6","14.7","21.5","4.9","2.1","0.1",".",".",".",".","0.6",".","0.1","."
"Junior","","1001","2.920","28.1","11.0","20.4","13.9","19.4","3.5","2.3","0.4",".",".",".",".","0.9",".","0.1","0.1"
"Senior","","1097","3.258","42.3","14.7","17.0","6.8","12.5","2.6","0.5","1.0",".",".",".","1.9","0.3","0.3","0.1","."
"Undergraduates","","4194","2.991","28.8","14.5","17.9","12.7","18.5","4.4","1.7","0.4",".",".",".","0.5","0.5","0.1","0.1","0.0"
"Special","","52","3.252","42.3","15.4","5.8","9.6","5.8","1.9","3.8","5.8",".",".",".",".","5.8",".","3.8","."
"Graduate","","303","3.861","65.0","8.9","3.6",".","0.7",".",".","15.8",".",".",".","3.0","2.6","0.3",".","."
"Prof Yr 1","","5","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","3","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4557","3.027","31.4","14.1","16.9","11.8","17.1","4.1","1.6","1.5",".",".",".","0.7","0.7","0.1","0.2","0.0"
