"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"900
SOC","","Grades","GPA","","","","","","","","","","","","","","","",""
"","Section Total","42","3.548","31.0","47.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003 332","18","2.944","22.2","16.7","11.1","27.8","22.2",".",".",".",".",".",".",".",".",".",".","."
"","360
003 331","14","3.000","21.4","7.1","28.6","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"","Section Total","32","2.968","21.9","12.5","18.8","25.0","15.6","3.1",".","3.1",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","114","3.265","27.2","30.7","21.1","7.9","9.6","2.6",".","0.9",".",".",".",".",".",".",".","."
"","361
001 302","13","3.385","30.8","38.5","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","361
001 301","20","3.575","50.0","20.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","Course Total","33","3.500","42.4","27.3","21.2","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"","362
001 302","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","362
001 301","21","3.700","61.9","9.5","23.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Stats for Sociologists III","Course Total","33","3.726","60.6","15.2","18.2",".",".",".",".","3.0",".",".",".",".","3.0",".",".","."
"Computing-Sociologcl Resrch","365
002","11","3.500","63.6","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380
001","16","3.469","43.8","31.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","441
001 304","21","3.095","9.5","33.3","33.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","441
001 303","21","3.190","23.8","23.8","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","441
001 302","21","3.357","33.3","23.8","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","441
001 301","24","3.354","33.3","37.5","8.3","8.3","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","441
001 305","20","3.475","30.0","40.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","Course Total","107","3.294","26.2","31.8","24.3","10.3","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","475
001","35","3.324","45.7","11.4","22.9","5.7","8.6",".","2.9",".",".",".",".",".","2.9",".",".","."
"","475
002","20","3.632","60.0","5.0","25.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","475
003","27","3.360","33.3","25.9","25.9","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","475
004","47","3.404","48.9","17.0","19.1","4.3","4.3","4.3","2.1",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","129","3.407","46.5","15.5","22.5","5.4","4.7","2.3","1.6",".",".",".",".",".","1.6",".",".","."
"Topics in Sociology","496
004","18","3.976","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","530
001 305","14","2.821","14.3","21.4","14.3","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","530
001 303","9","3.167","22.2","11.1","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","530
001 302","10","2.600","10.0",".","30.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"","530
001 301","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","530
001 304","7","2.571","14.3",".","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","46","2.848","15.2","13.0","28.3","13.0","23.9","6.5",".",".",".",".",".",".",".",".",".","."
"","530
002","40","2.613","5.0","10.0","27.5","27.5","25.0","2.5","2.5",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","86","2.755","10.5","11.6","27.9","19.8","24.4","4.7","1.2",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531
001","27","3.470","25.9","40.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","16","3.219","43.8","6.3","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611
001","32","3.196","15.6","25.0","40.6","3.1",".",".","3.1","3.1",".",".",".",".","9.4",".",".","."
"Social Ecol of Amazon Basin","613
001","25","3.705","56.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".","12.0",".","."
"Community Development","617
001","18","3.353","33.3","22.2","22.2","11.1","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"Gender, Society & Politics","623
001","30","3.414","40.0","16.7","26.7","10.0","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","20","3.882","70.0","10.0","5.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"Sociology of the Family","640
001","37","2.959","18.9","24.3","24.3","10.8","13.5",".","5.4","2.7",".",".",".",".",".",".",".","."
"Race and Ethnic Relations","646
001","36","3.557","38.9","30.6","27.8",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Sociology of Education","648
001","21","3.250","33.3","19.0","19.0","9.5","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"Sociology of Agriculture","650
001","11","3.227","27.3","27.3","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
