"","022
999","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","063
999","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","077
999","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","Course Total","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"PHM SCI
718","Dept. Total","1529","3.141","26.6","17.6","29.2","14.0","8.0","1.7","0.1","2.7","",".",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","3.357","60.0",".","20.0",".","20.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","107","3.132","30.8","18.7","25.2","9.3","12.1","2.8","0.9",".","",".",".","",".","",".","",".",".",".","."
"Senior","","158","3.142","31.6","15.2","26.6","14.6","7.6","3.8","0.6",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","270","3.142","31.9","16.3","25.9","12.2","9.6","3.3","0.7",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.250","20.0",".","60.0",".",".",".",".",".","",".",".","",".","",".","",".",".","20.0","."
"Graduate","","145","3.910","64.8","6.9","1.4",".",".",".",".","26.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","239","3.044","17.6","19.7","27.2","25.5","9.2","0.4",".",".","",".",".","",".","",".","",".",".","0.4","."
"Prof Yr 2","","507","3.073","20.7","16.2","33.1","16.6","11.0","2.2",".","0.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","363","3.213","21.5","23.7","38.3","9.9","5.0","1.4",".","0.3","",".",".","",".","",".","",".",".",".","."
"Professionals","","1109","3.098","20.3","19.4","33.5","16.3","8.7","1.5",".","0.2","",".",".","",".","",".","",".",".","0.1","."
"","Dept. Total","1529","3.141","26.6","17.6","29.2","14.0","8.0","1.7","0.1","2.7","",".",".","",".","",".","",".",".","0.1","."
