"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","6","3.692","50.0","33.3","16.7",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","14","3.844","71.4","21.4","7.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","","92","3.505","43.5","4.3","12.0","1.1","",".","",".","",".","26.1","",".",".","",".","12.0","",".","1.1",".","."
"Prof Yr 3","","9","3.818","55.6",".","11.1",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","11","3.818","45.5",".","9.1",".","",".","",".","",".","45.5","",".",".","",".",".","",".",".",".","."
