"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","2","3.750","50.0","50.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","14","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","81","3.667","54.3","30.9","11.1","1.2","2.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","289","3.069","9.0","10.7","19.0","8.0","3.5",".","",".","49.8","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","282","3.963","28.7",".",".",".",".","0.4","",".","70.9","",".",".","",".","",".","",".",".",".","."
"Professionals","652","3.354","23.2","8.6","9.8","3.7","1.8","0.2","",".","52.8","",".",".","",".","",".","",".",".",".","."
