"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","16","3.406","43.8","6.3","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
170","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
170","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","007
170","15","3.600","60.0","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","60","3.625","61.7","10.0","23.3","1.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","42","3.000","21.4","23.8","21.4","14.3","11.9",".","4.8","2.4",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","65","2.738","13.8","13.8","32.3","16.9","13.8","3.1","6.2",".",".",".",".",".",".",".",".","."
"","252
001","36","3.333","22.2","33.3","36.1","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","002
252","45","3.311","15.6","37.8","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
252","60","3.195","36.7","18.3","20.0","6.7","11.7","3.3","1.7","1.7",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","141","3.268","26.2","28.4","30.5","6.4","5.7","1.4","0.7","0.7",".",".",".",".",".",".",".","."
"","270
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
270","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
270","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
270","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","42","3.869","90.5",".","4.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","271
002","6","3.200","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"","003
271","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
271","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","006
271","17","3.765","70.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","43","3.619","53.5","20.9","16.3","7.0",".",".",".",".",".",".",".",".",".","2.3",".","."
"Trans Lines & Netwks Lab","301
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
305","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","001
306","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
313","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
313","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
315","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","45","3.722","53.3","37.8","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","26","3.462","42.3","30.8","23.1",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","70","2.921","12.9","22.9","21.4","24.3","17.1","1.4",".",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","19","2.763","21.1","10.5","21.1","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","28","2.946","21.4","28.6","17.9","10.7","10.7","7.1","3.6",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","35","3.200","37.1","11.4","8.6","40.0","2.9",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","49","3.296","38.8","14.3","24.5","12.2","10.2",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","32","3.177","21.9","21.9","40.6","6.3","3.1",".","3.1","3.1",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 113 of 410",""
