"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","009","","7","1.400","14.3",".","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"940","010","","10","1.000","20.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"940","011","","9","1.667","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","013","","12","1.750","16.7",".","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"940","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","015","","8","1.875","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"940","017","","8","2.000","12.5",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","018","","7","2.214","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","019","","14","1.607","21.4","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"940","020","","7","1.857","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","021","","8","0.571","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"940","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","023","","13","0.615","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","024","","10","1.577","20.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"940","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","027","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","255","1.861","25.9","3.9","20.0","0.4","2.7",".",".","2.0",".",".",".",".","0.4",".",".","."
"950","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"950","003","","8","0.500","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","21","0.500","4.8",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"981
Law & Modernization-Smr","001","","11","2.273","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"989
Environmental Law and Practice","001","","8","0.000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","5","***","","","","","","","","","",".",".",".",".",".",".","."
