"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","135","3.130","19.3","23.7","39.3","9.6","5.2","0.7","2.2",".",".",".",".",".",".",".",".","."
"215","002","","137","2.967","13.1","21.9","35.0","10.9","14.6","3.6",".",".",".",".",".",".",".","0.7",".","."
"Intro to Agr & Applied Econ","Course Total","","272","3.048","16.2","22.8","37.1","10.3","9.9","2.2","1.1",".",".",".",".",".",".","0.4",".","."
"299
Independent Study","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"323
Cooperatives","001","","48","2.896","25.0","8.3","39.6",".","16.7","8.3","2.1",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","24","3.024","20.8","16.7","20.8","16.7","20.8",".",".","4.2",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","22","3.000","31.8","4.5","36.4","4.5","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"399","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"419
Agricultural Finance","001","","13","3.231","30.8","7.7","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"426
Quant Mthds-Ag & Appl Econ","001","","21","2.976","28.6","14.3","23.8","19.0","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Natural Resource Economics","001","","7","3.071","28.6",".","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal I","001","","14","3.577","57.1",".","28.6","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"682
Senior Honors Thesis","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","9","3.318","22.2","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.452","30.8","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"732
Economics of Development 3","001","","9","3.500","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".","55.6",".",".","."
"741
Advanced Policy Analysis","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","8","3.684","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".","4.8","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 1 of 410"
