"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","55","3.000","23.6","14.5","27.3","14.5","16.4","3.6",".",".",".",".",".",".",".",".",".","."
"","002
224","55","3.045","25.5","16.4","30.9","10.9","10.9","3.6","1.8",".",".",".",".",".",".",".",".","."
"","003
224","51","2.735","13.7","13.7","19.6","19.6","29.4","3.9",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","161","2.932","21.1","14.9","26.1","14.9","18.6","3.7","0.6",".",".",".",".",".",".",".",".","."
"","301
001","129","3.059","33.3","14.0","28.7","2.3","10.9","5.4","3.9",".",".",".",".",".",".","1.6",".","."
"","002
301","120","2.609","10.0","21.7","16.7","12.5","29.2","3.3","5.8",".",".",".",".",".",".",".",".","0.8"
"","003
301","153","3.212","34.0","19.0","23.5","10.5","9.2","3.9",".",".",".",".",".",".",".",".",".","."
"","004
301","94","2.888","21.3","17.0","18.1","18.1","21.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"","005
301","122","3.213","32.8","12.3","32.0","15.6","5.7","0.8","0.8",".",".",".",".",".",".",".",".","."
"","006
301","139","2.698","22.3","7.9","30.2","9.4","15.1","8.6","6.5",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","757","2.956","26.2","15.2","25.2","11.0","14.7","4.2","3.2",".",".",".",".",".",".","0.3",".","0.1"
"Intro to Math Statistics","001
309","25","3.167","28.0","16.0","24.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0"
"","311
001","65","2.869","15.4","15.4","26.2","26.2","12.3","3.1","1.5",".",".",".",".",".",".",".",".","."
"","002
311","27","3.019","22.2","22.2","14.8","18.5","22.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","92","2.913","17.4","17.4","22.8","23.9","15.2","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","50","3.112","18.0","16.0","40.0","18.0","6.0",".",".","2.0",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","11","3.045","36.4","9.1","18.2",".","36.4",".",".",".",".",".",".",".",".",".",".","."
"","371
001","137","3.131","32.1","20.4","22.6","4.4","16.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","002
371","131","3.172","35.1","18.3","24.4","3.8","14.5","0.8","3.1",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","268","3.151","33.6","19.4","23.5","4.1","15.3","1.5","2.6",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","16","3.125","25.0","31.3","18.8","18.8",".",".","6.3",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","31","3.707","51.6","29.0","12.9",".",".",".",".","3.2",".",".",".",".",".",".",".","3.2"
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
431","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","8","2.357","12.5","12.5",".",".","50.0","12.5",".","12.5",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","34","3.676","64.7","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","43","3.442","30.2","34.9","27.9","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
571","40","3.500","32.5","35.0","27.5","2.5",".",".",".","2.5",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","83","3.470","31.3","34.9","27.7","4.8",".",".",".","1.2",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","23","3.500","30.4","39.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","16","3.821","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3","6.3"
"","698
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","114
698","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","043
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","112
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","114
699","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","118
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","138
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
699","2","***","","","","","","","","","",".",".",".",".",".",".","."
