"L&S","","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1768","3.118","30.0","17.9","22.9","9.6","11.9","2.5","1.9","2.4","",".","0.1","",".","0.2","",".","0.1","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","2.598","33.3","6.7","6.7","13.3","20.0","6.7","13.3",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","292","2.998","23.6","16.4","25.3","16.4","13.0","2.4","2.1",".","",".",".","",".",".","",".",".",".","0.7"
"Junior","","634","3.036","27.3","16.1","26.8","9.3","15.3","3.3","1.6",".","",".",".","",".",".","",".","0.2",".","0.2"
"Senior","","467","2.990","28.9","16.3","22.1","10.1","15.2","3.4","3.4","0.2","",".","0.2","",".",".","",".","0.2",".","."
"Undergraduates","","1408","3.009","27.1","16.1","24.7","11.1","14.8","3.2","2.4","0.1","",".","0.1","",".",".","",".","0.1",".","0.2"
"Special","","21","3.206","28.6","19.0","28.6","14.3","9.5",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","338","3.611","42.0","25.1","15.1","2.7",".",".",".","12.4","",".","0.3","",".","1.2","",".",".","0.3","0.9"
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1768","3.118","30.0","17.9","22.9","9.6","11.9","2.5","1.9","2.4","",".","0.1","",".","0.2","",".","0.1","0.1","0.3"
