"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","33","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","26","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","29","3.862","72.4","27.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","30","3.533","43.3","23.3","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","118","3.644","50.8","30.5","15.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"340
Comparative Education","001","","13","3.375","30.8","15.4","38.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","56","3.120","19.6","35.7","7.1","19.6","12.5","1.8",".","1.8",".",".",".",".","1.8",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","34","3.162","5.9","41.2","47.1","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","25","3.420","36.0","36.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Reading","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"740
Classics in Education","001","","18","3.824","61.1","33.3",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"760
Ed in Develop Societies","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"780","001","","13","3.583","23.1","61.5","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"780","003","","13","3.682","38.5","38.5","7.7",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"Special Topics in Educ Policy","Course Total","","26","3.630","30.8","50.0","7.7",".",".",".",".","3.8",".",".",".",".","7.7",".",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","14","3.731","42.9","50.0",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 89 of 410"
