"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"450
History of Broadcasting","001","","43","3.267","18.6","34.9","30.2","14.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"451
Television Criticism","001","","44","3.386","18.2","50.0","29.5",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"455
French Film","001","","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
American Independent Cinema","001","","20","3.550","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"465
Editing & Post-prod:Video&Film","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466","001","","13","3.346","7.7","53.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"466","002","","14","3.500","28.6","35.7","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Writing for TV & Film","Course Total","","27","3.423","18.5","44.4","33.3",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"467","001","","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"467","002","","13","3.269","30.8","46.2","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","Course Total","","26","3.365","23.1","53.8","15.4","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","6","3.895","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Contemp Political Discourse","001","","32","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"472
Rhetoric and Technology","001","","22","2.864","22.7","18.2","22.7","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"476
Nature of Criticism","001","","24","3.565","37.5","33.3","25.0",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"513
Topic-Com Arts:Study Abroad","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Media, Deliberatn & Public Iss","001","","21","3.400","19.0","42.9","28.6","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","42","3.619","42.9","42.9","11.9",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"575
Communicatn in Complex Orgs","001","","15","3.767","73.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"576
Prin-Rhetorical Criticism","001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"613","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","002","","22","3.136","18.2","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"613","003","","14","3.286","21.4","42.9","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"613","004","","7","3.071","42.9","28.6",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","44","3.182","22.7","34.1","15.9","20.5","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"614","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".",".",".","."
"615
Secnd Fld Exp-Communication","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"667
Hist of Amer Public Address","001","","15","3.600","73.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 183 of 410",""
