"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"The Ancient Mediterranean","110
001","43","3.427","16.3","51.2","25.6","2.3",".",".",".","4.7",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","36","3.391","44.4","19.4","13.9","5.6",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","320
001","117","3.295","28.2","35.9","24.8","4.3","1.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"Topics in Roman Culture","372
001","76","3.243","28.9","30.3","15.8","11.8","6.6","3.9",".","2.6",".",".",".",".",".",".",".","."
"Topics in Classical Culture","373
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517
001","30","3.603","43.3","40.0","6.7","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","18","2.556","16.7",".","44.4",".","22.2","11.1","5.6",".",".",".",".",".",".",".",".","."
"Directed Reading","699
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art&Archaeolog-Ancient Greece","700
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosmr: Rsch Methods & Issues","701
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","352","3.357","34.7","31.0","19.0","5.1","3.4","2.3","1.7","2.8",".",".",".",".",".",".",".","."
