"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","120","3.646","67.5",".","28.3","2.5","1.7",".",".",".",".",".",".",".",".",".",".","."
"","302
001","25","3.460","32.0","28.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","20","3.400","30.0","25.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
302","21","3.595","57.1","4.8","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
302","22","3.386","36.4","13.6","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","005
302","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","111","3.477","37.8","22.5","37.8","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","101","3.050","21.8","6.9","52.5","5.0","11.9",".","2.0",".",".",".",".",".",".",".",".","."
"","324
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
324","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
324","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","49","3.847","71.4","26.5","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","002
699","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"BIOCORE
206","Dept. Total","408","3.461","50.5","11.0","31.9","2.2","3.7",".","0.5",".",".",".",".",".",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","129","3.457","41.9","12.4","41.1","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","178","3.456","51.7","10.1","31.5","2.2","3.9",".","0.6",".",".",".",".",".",".",".",".","."
"Senior","","101","3.475","59.4","10.9","20.8","2.0","5.0",".","1.0",".",".",".",".",".",".",".","1.0","."
"Undergraduates","","408","3.461","50.5","11.0","31.9","2.2","3.7",".","0.5",".",".",".",".",".",".",".","0.2","."
"","Dept. Total","408","3.461","50.5","11.0","31.9","2.2","3.7",".","0.5",".",".",".",".",".",".",".","0.2","."
