"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","18","3.194","38.9","27.8","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","002
102","20","3.725","65.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
102","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","20","3.694","45.0","35.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","005
102","16","3.031",".","43.8","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
102","17","3.382","29.4","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","107","3.462","41.1","29.0","19.6","3.7","2.8",".","1.9","1.9",".",".",".",".",".",".",".","."
"","104
001","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
104","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
104","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
104","17","3.500","23.5","58.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","63","3.571","34.9","47.6","14.3","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","168","3.171","19.0","35.1","23.8","14.3","3.0","3.0","1.2","0.6",".",".",".",".",".",".",".","."
"","112
001","17","3.094","5.9","35.3","35.3","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","002
112","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
112","15","3.286","13.3","53.3","13.3",".","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"","004
112","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
112","16","3.625","43.8","50.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","006
112","16","3.500","56.3","6.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","007
112","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
112","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
112","20","3.974","90.0","5.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".","."
"Drawing I","Course Total","159","3.631","51.6","29.6","11.3","2.5","3.1",".",".","1.3","0.6",".",".",".",".",".",".","."
"","001
212","14","3.250","35.7","21.4","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","002
212","16","3.594","50.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
212","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drawing II","Course Total","45","3.556","51.1","26.7","17.8",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","214
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
214","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
222","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
222","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
222","9","3.389","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","51","3.608","51.0","25.5","19.6","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","224
001","17","3.765","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
224","16","3.367","43.8","12.5","12.5","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","003
224","18","3.472","55.6","16.7","22.2",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","51","3.540","58.8","9.8","19.6","5.9","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"","232
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
232","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
232","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
232","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","49","3.724","55.1","34.7","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
