"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","57","4.000","98.2",".",".",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"","160
001","18","3.417","44.4","38.9","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","002
160","20","3.575","50.0","30.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
160","21","3.575","47.6","33.3",".","9.5","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"Architectural Graphics","Course Total","59","3.526","47.5","33.9","5.1","5.1","5.1",".","1.7",".",".",".",".",".",".","1.7",".","."
"","170
001","22","3.500","40.9","18.2","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
170","22","3.250","22.7","31.8","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
170","22","3.295","50.0","27.3",".","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","66","3.348","37.9","25.8","22.7","4.5","6.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","158","3.067","20.3","28.5","22.8","16.5","7.0","0.6","3.8",".",".",".",".",".",".",".",".","0.6"
"Geom Modeling-Engr Applcatn","232
001","92","3.027","7.6","25.0","40.2","19.6","7.6",".",".",".",".",".",".",".",".",".",".","."
"","240
001","57","2.868","10.5","17.5","35.1","22.8","10.5",".","3.5",".",".",".",".",".",".",".",".","."
"","002
240","55","2.991","5.5","27.3","32.7","25.5","7.3",".",".",".",".",".",".",".",".","1.8",".","."
"Dynamics","Course Total","112","2.928","8.0","22.3","33.9","24.1","8.9",".","1.8",".",".",".",".",".",".","0.9",".","."
"Undergrad Mech Engr Project","291
050","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","014
299","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","043
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","050
299","15","3.933","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","058
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","36","3.946","41.7","8.3",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","306
001","40","2.863","15.0","5.0","37.5","22.5","20.0",".",".",".",".",".",".",".",".",".",".","."
"","002
306","41","2.793","17.1","12.2","31.7","14.6","14.6","7.3","2.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","81","2.827","16.0","8.6","34.6","18.5","17.3","3.7","1.2",".",".",".",".",".",".",".",".","."
"","001
307","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
307","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","8","2.750",".","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","005
307","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","006
307","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
307","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","7","2.786","14.3","14.3","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"","009
307","14","3.321","35.7","21.4","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","85","3.347","28.2","34.1","25.9","2.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"","001
313","26","3.365","19.2","42.3","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","26","3.346","26.9","42.3","15.4","11.5",".","3.8",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","52","3.356","23.1","42.3","23.1","9.6",".","1.9",".",".",".",".",".",".",".",".",".","."
"","001
314","44","3.409","27.3","43.2","18.2","6.8","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
314","31","3.081","22.6","32.3","22.6","9.7","3.2","6.5","3.2",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","75","3.273","25.3","38.7","20.0","8.0","4.0","2.7","1.3",".",".",".",".",".",".",".",".","."
"","001
340","43","2.709","14.0","20.9","16.3","27.9","7.0","9.3","4.7",".",".",".",".",".",".",".",".","."
"","002
340","31","3.097","12.9","32.3","22.6","25.8","6.5",".",".",".",".",".",".",".",".",".",".","."
"","003
340","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","75","2.873","13.3","25.3","20.0","26.7","6.7","5.3","2.7",".",".",".",".",".",".",".",".","."
