"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","8","3.938","87.5","12.5",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","12","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","13","4.000","76.9",".",".",".",".",".","",".","23.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","249","2.902","6.0","8.0","30.1","4.0","10.8","0.8","",".","40.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","332","4.000","36.4",".",".",".",".",".","",".","63.6","",".",".","",".","",".","",".",".",".","."
"Professionals","606","3.167","25.4","3.3","12.4","1.7","4.5","0.3","",".","52.5","",".",".","",".","",".","",".",".",".","."
