"Fieldwork-Physical Disabil","664
001","15","",".",".",".",".",".",".",".","",".","",".","","100.0",".","",".","",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","24","3.957","91.7",".","4.2",".",".",".",".","",".","",".","",".",".","",".","","4.2",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","18","3.889","88.9","5.6",".","5.6",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Directed Study","799
036","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"THER SCI
939","Dept. Total","250","3.695","57.6","18.8","7.2","2.4","0.4","0.4","",".","",".","",".","12.0","",".","",".","1.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.500","75.0",".",".","25.0",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","15","3.853","73.3","20.0","6.7",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","15","3.455","40.0","33.3","20.0",".",".","6.7","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","13","3.971","92.3","7.7",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","47","3.710","68.1","19.1","8.5","2.1",".","2.1","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","202","3.692","55.0","18.8","6.9","2.5","0.5",".","",".","",".","",".","14.9","",".","",".","1.5",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","250","3.695","57.6","18.8","7.2","2.4","0.4","0.4","",".","",".","",".","12.0","",".","",".","1.2",".",".","."
