"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","123","3.041","16.3","22.0","32.5","15.4","12.2","1.6",".",".",".",".",".",".",".",".",".","."
"","002
350","121","3.116","22.3","19.0","32.2","17.4","6.6","2.5",".",".",".",".",".",".",".",".",".","."
"","003
350","89","2.938","7.9","21.3","32.6","27.0","11.2",".",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","333","3.041","16.2","20.7","32.4","19.2","9.9","1.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Transportation","444
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","001
640","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","52","3.471","32.7","32.7","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
705","54","3.546","27.8","55.6","14.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis&Decision Making","Course Total","106","3.509","30.2","44.3","22.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","710
001","20","3.700","55.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732
001","30","3.600","46.7","30.0","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","744
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","030
765","42","3.940","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","43","3.942","88.4","11.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","037
799","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","043
799","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","073
799","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","5","***","","","","","","","","","","","","","","","",""
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","121
990","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","139
990","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
