"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","25","2.980","20.0","28.0","12.0","16.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","56","2.982","19.6","25.0","16.1","14.3","23.2","1.8",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","36","3.069","25.0","16.7","27.8","13.9","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","39","2.833","15.4","12.8","17.9","41.0","7.7","5.1",".",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","10","3.350","30.0","30.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","22","3.318","27.3","31.8","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","23","2.957","21.7","21.7","17.4","13.0","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8"
"Mass Transfer Operations","426","001","","27","3.019","25.9","7.4","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","25","3.080","28.0","8.0","40.0",".","24.0",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","27","3.333","14.8","51.9","22.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","15","3.133","20.0","20.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","23","3.152","30.4","8.7","39.1","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Processing-Electronic Matls","544","001","","8","2.875","25.0","25.0","12.5",".","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","25","3.875","84.0",".","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","006","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","7","2.833",".","14.3","28.6","42.9",".",".",".","14.3",".",".",".",".",".",".",".","."
"","599","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660","001","","28","3.518","42.9","25.0","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Studies","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv ChE Thermodynamic","710","001","","26","3.365","23.1","34.6","38.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Kinetics and Catalysis","735","001","","26","3.462","38.5","19.2","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
