"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
050","11","3.182","9.1","45.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","051
100","12","2.833","16.7","8.3","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","052
100","11","2.955",".","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","053
100","12","2.917",".","50.0","33.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","054
100","13","3.269","30.8","23.1","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","055
100","11","3.136","9.1","45.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","056
100","10","3.250","20.0","30.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","057
100","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","058
100","12","3.042","16.7","41.7","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","059
100","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","060
100","11","2.909",".","18.2","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","061
100","11","3.364","18.2","54.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","062
100","13","3.269","30.8","38.5","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","063
100","12","3.042",".","33.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","696","3.200","13.8","41.7","27.7","9.9","5.2","0.7","1.0",".",".",".",".",".",".",".",".","."
"","105
001","16","3.267","25.0","25.0","25.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","002
105","18","3.278","16.7","38.9","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
105","18","3.139",".","61.1","16.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","004
105","15","2.900","6.7","40.0","13.3","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","005
105","14","3.107",".","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","006
105","17","3.206","23.5","23.5","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","98","3.155","12.2","39.8","24.5","13.3","8.2","1.0",".","1.0",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","15","3.367","13.3","53.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","227","3.131","15.4","30.0","31.3","15.4","6.2","0.4","0.9",".",".",".",".",".",".",".",".","0.4"
"Communication & Human Behav","260
001","154","3.435","32.5","36.4","20.8","7.8","1.9","0.6",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","93","3.152","14.0","43.0","17.2","19.4","2.2","1.1","2.2","1.1",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","107","3.154","11.2","28.0","43.9","14.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","95","3.319","29.5","24.2","32.6","9.5","2.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"Directed Study","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","113","3.360","28.3","33.6","23.0","10.6","0.9","1.8",".","1.8",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","100","3.126","14.0","37.0","31.0","10.0","2.0","2.0","3.0","1.0",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","167","3.036","15.0","29.3","26.3","16.2","8.4","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","167","3.243","31.1","27.5","24.0","7.8","4.2","3.6","1.8",".",".",".",".",".",".",".",".","."
"History of World Cinema","352
001","88","3.098","13.6","23.9","40.9","13.6","5.7",".","1.1",".",".",".",".",".",".","1.1",".","."
"Intro to Media Production","355
001","105","3.317","15.2","49.5","23.8","7.6","1.9",".","1.0","1.0",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","27","3.074","25.9","11.1","37.0","3.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","88","3.545","35.2","44.3","15.9","3.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","121","3.438","37.2","31.4","17.4","9.9","4.1",".",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370
001","170","2.950","8.8","23.5","36.5","21.8","5.3","1.2","2.4","0.6",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","69","3.149","23.2","31.9","18.8","11.6","7.2","1.4","2.9","1.4",".",".",".",".",".",".","1.4","."
"Psychology of Communication","402
001","29","2.862","10.3","6.9","44.8","20.7","17.2",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410
001","41","2.768","12.2","12.2","39.0","9.8","22.0",".","4.9",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419
001","20","3.450","45.0","35.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 182 of 410",""
