"Master's Research or Thesis","Course Total","","7","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"","029
890","","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","057
890","","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Pre-Dissertator's Research","Course Total","","3","***","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","","59","3.338","33.9","20.3","11.9","8.5","6.8","1.7","",".","16.9","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","2.750",".",".","50.0","50.0",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","","26","3.394","38.5","30.8","11.5","15.4","3.8",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","28","3.339","35.7","28.6","14.3","17.9","3.6",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","","5","2.000",".",".","20.0",".","60.0","20.0","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","","26","3.734","38.5","15.4","7.7",".",".",".","",".","38.5","",".",".",".","",".","",".",".",".","."
"","Dept. Total","","59","3.338","33.9","20.3","11.9","8.5","6.8","1.7","",".","16.9","",".",".",".","",".","",".",".",".","."
