"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","11","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"First Semester Indonesian","309","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","317","001","","18","3.294","33.3","16.7","27.8","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","004","","7","3.750","57.1","14.3","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".","."
"","321","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","006","","6","2.638","16.7","50.0",".",".",".","16.7","16.7",".",".",".",".",".",".",".",".","."
"","321","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","22","3.385","50.0","22.7","9.1","4.5",".","4.5","4.5",".","4.5",".",".",".",".",".",".","."
"Third Semester Arabic","323","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Turkish","339","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Uzbek","343","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","353","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","353","002","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"First Semester Hindi","","Course Total","","22","3.952","86.4","9.1",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"First Semester Persian","363","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Sanskrit","375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","6","2.917","33.3","16.7",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Vietnamese","419","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Uzbek","443","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Hmong","507","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Indonesian","509","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","517","001","","8","3.500","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Fifth Semester Vietnamese","519","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Turkish & Azeri","539","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Uzbek","543","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hindi","553","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Persian","563","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
