"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","20","3.675","65.0","5.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","17","3.706","76.5",".","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Calc-Variations&Rel Topics","727","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Stochastic Analysis","735","001","","22","3.775","63.6","13.6","13.6",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lie Algebras","747","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytic Number Theory","749","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Experimental Design I","803","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Partial Differential Equatn","819","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Complex Analysis","823","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","831","001","","15","3.536","40.0","33.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Character Theory","841","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Differentl Topology","856","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geometry","865","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Math Education","903","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","941","004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","95","001","","28","2.446","14.3","17.9","17.9","7.1","17.9","17.9","7.1",".",".",".",".",".",".",".",".","."
"","95","002","","31","2.935","16.1","16.1","32.3","9.7","25.8",".",".",".",".",".",".",".",".",".",".","."
"Fundamental Math Skills","","Course Total","","59","2.703","15.3","16.9","25.4","8.5","22.0","8.5","3.4",".",".",".",".",".",".",".",".","."
"Seminar in Topology","951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 258 of 410",""
