"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","177","3.218","14.1","42.4","28.2","8.5","2.8",".","2.3","1.1",".",".",".",".",".","0.6",".","."
"","120","001","112","2.862","20.5","16.1","28.6","8.0","16.1","9.8","0.9",".",".",".",".",".",".",".",".","."
"","120","002","148","2.942","23.6","18.2","22.3","12.2","14.9","6.8","1.4","0.7",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","260","2.907","22.3","17.3","25.0","10.4","15.4","8.1","1.2","0.4",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","38","3.176","28.9","10.5","28.9","23.7","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","55","2.673","14.5","20.0","18.2","5.5","21.8","12.7","1.8","5.5",".",".",".",".",".",".",".","."
"Resources and People","139","001","45","2.956","24.4","13.3","17.8","26.7","15.6",".","2.2",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","23","3.370","34.8","21.7","39.1",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","14","3.464","42.9","35.7","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","11","3.318","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.211","25.0","35.0","20.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","31","3.417","32.3","32.3","19.4","9.7","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Envrnmntl Eval & Adaptation","319","001","27","3.308","48.1","25.9","7.4","3.7",".","3.7","7.4","3.7",".",".",".",".",".",".",".","."
"Geomorphology","320","001","8","3.188","25.0","12.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","17","3.000","23.5","17.6","29.4","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","339","001","35","2.743","20.0","8.6","17.1","25.7","22.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","339","002","54","2.683","11.1","9.3","24.1","18.5","29.6","3.7",".","1.9","1.9",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","89","2.707","14.6","9.0","21.3","21.3","27.0","3.4","1.1","1.1","1.1",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","92","3.099","25.0","18.5","30.4","16.3","4.3","1.1","3.3","1.1",".",".",".",".",".",".",".","."
"Europe","349","001","192","3.289","33.3","19.3","28.1","8.9","8.9","0.5",".","1.0",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","21","3.619","52.4","38.1","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","64","3.183","25.0","31.3","14.1","17.2","7.8","3.1",".","1.6",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","48","3.120","29.2","16.7","35.4","2.1","4.2","4.2","4.2","2.1",".",".",".",".","2.1",".",".","."
"Amer Environmental History","460","001","31","3.403","29.0","32.3","32.3","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","26","3.840","92.3",".",".",".",".",".","3.8","3.8",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","24","3.217","33.3","12.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".","4.2",".","."
"Adv Quantitative Methods","560","001","19","3.528","36.8","26.3","31.6",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","24","3.000","25.0","8.3","33.3","25.0","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","602","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","8","",".",".",".",".",".",".",".",".",".","75.0","12.5",".",".",".",".","."
"","676","001","8","3.500","25.0","37.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","676","002","18","3.250","22.2","22.2","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Geography","","Course Total","26","3.320","23.1","26.9","34.6","11.5",".",".",".","3.8",".",".",".",".",".",".",".","."
"","681","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 214 of 410",""
