"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Automatic Controls","Course Total","","32","3.156","28.1","25.0","21.9","12.5","9.4",".","3.1",".",".",".",".",".",".",".",".","."
"451
Kinemtcs&Dynmcs-Machine Sys","001","","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Internal Combustion Engines","001","","38","3.292","26.3","23.7","26.3","15.8","2.6",".",".","5.3",".",".",".",".",".",".",".","."
"475
Engr Principles-Ag Machinery","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"491","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","11","3.889","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","24","3.924","87.5","4.2","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"492","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508
Composite Materials","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Macromolecular Hydrodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","25","3.400","28.0","36.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","11","2.818","9.1","9.1","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","18","3.194","33.3","27.8","11.1","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","19","3.500","31.6","47.4","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"572","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"572","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Gas Dynamics","Course Total","","17","3.588","52.9","29.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"573","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"573","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Fluid Dynamcs","Course Total","","15","3.533","73.3","13.3",".",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"601","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","8","3.375","50.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"601","006","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","008","","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
