"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Directed Study","198
201","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","22","3.614","27.3","68.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
300","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
300","24","3.750","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
300","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
300","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
300","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","270","3.859","73.7","24.4","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","193","2.797","12.4","14.5","30.1","12.4","26.9","2.6","0.5","0.5",".",".",".",".",".",".",".","."
"","002
301","131","3.179","28.2","17.6","31.3","7.6","15.3",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","324","2.952","18.8","15.7","30.6","10.5","22.2","1.5","0.3","0.3",".",".",".",".",".",".",".","."
"","302
001","41","3.646","61.0","17.1","12.2","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","37","3.338","32.4","32.4","13.5","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","78","3.500","47.4","24.4","12.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","001
303","115","2.930","20.9","4.3","50.4","4.3","13.0","6.1","0.9",".",".",".",".",".",".",".",".","."
"","002
303","90","3.242","35.6","7.8","40.0","4.4","8.9","2.2",".","1.1",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","205","3.066","27.3","5.9","45.9","4.4","11.2","4.4","0.5","0.5",".",".",".",".",".",".",".","."
"","001
304","41","3.305","26.8","19.5","46.3","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","002
304","48","3.427","31.3","27.1","39.6",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","89","3.371","29.2","23.6","42.7","1.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"","365
001","32","3.953","93.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
365","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.805","76.6","21.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
201","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Envir Strategy & Sustainabilty","600
001","28","3.804","71.4","21.4","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","34","3.691","38.2","61.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","39","3.705","41.0","59.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","33","3.697","39.4","60.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","57","3.509","33.3","33.3","31.6",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Managerial Communication","Course Total","163","3.601","37.4","50.9","11.0",".",".",".",".",".",".",".",".",".","0.6",".",".","."
"Ethics, Values,&Sustainability","030
711","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
