"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","114","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","126","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","26","3.291","7.7","42.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","27","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","28","3.407","25.0","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Third Year Surgery","Course Total","","82","3.364","18.3","35.4","45.1",".",".",".",".",".",".",".",".",".",".",".",".","1.2"
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","11","3.577","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","4","***","","","","","","","","","","","","","","","",""
"924","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 384 of 410",""
