"CLINICAL LABORATORY SCIENC Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001
Intro to Clinical Lab Science","58","3.845","86.2",".","12.1",".","1.7",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"410
001
Basic Cytology & Lab Procudure","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"515
001
Clinical Hematology I","26","3.635","42.3","42.3","15.4",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"525
001
Clinical Chemistry I","20","3.225","15.0","25.0","55.0",".","5.0",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"535
001
Lab Diagnos-Infect Disease I","22","3.364","13.6","45.5","40.9",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"540
001
The Female Reproductive System","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"541
001
Clinical Practice I","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"543
001
The Respiratory System","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"550
001
Clinical Immunohematology","20","3.200","10.0","25.0","60.0","5.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"560
001
Clin Immunol & Applied Tech","19","3.632","47.4","31.6","21.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
001","16","3.813","68.8","25.0","6.3",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"002
575","11","3.750","54.5","27.3","9.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1"
"003
575","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"004
575","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"005
575","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Clinical Lab Science Practicum","38","3.807","71.1","21.1","5.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.6"
"620
001
Management Seminar","22","3.932","86.4","13.6",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
Dept. Total
628","233","3.571","56.7","20.6","21.0","0.4","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.4"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","13","3.692","76.9",".","15.4",".","7.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","17","3.882","88.2",".","11.8",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","54","3.571","55.6","24.1","20.4",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","149","3.552","51.7","23.5","22.8","0.7","0.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.7"
"Undergraduates","233","3.571","56.7","20.6","21.0","0.4","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.4"
"Dept. Total","233","3.571","56.7","20.6","21.0","0.4","0.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.4"
