"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","386","2.754","14.0","16.6","19.4","15.8","28.8","4.7","0.3",".",".",".",".",".","0.3",".",".","0.3"
"132","002","","456","2.769","14.0","13.6","25.2","17.1","25.7","2.9","1.3",".",".",".",".",".",".","0.2",".","."
"132","003","","136","2.673","12.5","13.2","24.3","12.5","27.9","5.1","2.2","1.5",".",".",".",".",".","0.7",".","."
"Nutrition Today","Course Total","","978","2.750","13.8","14.7","22.8","16.0","27.2","3.9","1.0","0.2",".",".",".",".","0.1","0.2",".","0.1"
"200
Prof-Dietetics & Nutrition","001","","131","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","86","2.906","11.6","29.1","27.9","15.1","5.8","5.8","3.5",".",".",".",".",".",".","1.2",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","60","3.067","10.0","36.7","21.7","20.0","11.7",".",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","25","3.667","52.0","24.0","20.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"626
Experimental Diet Design","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","46","3.207","32.6","23.9","21.7",".","19.6","2.2",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.913","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","8","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.694","66.7","5.6","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","30","4.000","6.7",".",".",".",".",".",".","93.3",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 35 of 410"
