"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","22","3.409","36.4","40.9","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","002
100","21","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","21","3.900","76.2","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","004
100","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","102","3.624","46.1","39.2","10.8","2.0",".",".","1.0",".",".",".",".",".",".",".",".","1.0"
"","111
001","20","3.725","60.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","13","3.154","38.5","15.4","7.7","15.4","23.1",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","33","3.500","51.5","24.2","6.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","16","3.600","62.5","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".","6.3",".","."
"","299
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
299","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","034
299","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.917","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","315
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","23","3.413","47.8","17.4","17.4","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","24","3.688","54.2","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
360","22","3.841","90.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","41","3.805","73.2","24.4",".",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"","375
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
375","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
375","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
375","8","2.500","12.5","25.0",".","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","38","3.486","52.6","21.1","10.5","5.3","2.6","5.3",".",".",".",".",".",".","2.6",".",".","."
"","399
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","033
399","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","034
399","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","035
399","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","18","3.611","50.0","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","14","3.357","57.1","14.3","14.3",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","14","3.769","71.4","7.1","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
699","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","024
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","028
699","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","034
699","4","***","","","","","","","","","",".",".",".",".",".",".","."
