"Research","Course Total","89","",".",".",".",".",".",".",".","98.9","",".",".",".","1.1",".",".",".","."
"","993
001","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","002
993","3","***","","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Genetics","Course Total","5","***","","","","","","","","","","","","","","","","",""
"GENETICS
412","Dept. Total","898","3.376","55.9","4.0","14.6","3.3","7.1","2.7","0.6","10.4","",".",".",".","0.1","0.1",".","1.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.031","56.0",".","20.0",".","12.0","8.0","4.0",".","",".",".",".",".",".",".",".","."
"Sophomore","","120","3.695","83.3","2.5","8.3","0.8","3.3","1.7",".",".","",".",".",".",".",".",".",".","."
"Junior","","251","3.384","65.3","3.2","15.1","3.2","10.0","2.4",".","0.8","",".",".",".",".",".",".",".","."
"Senior","","307","3.212","52.4","5.2","20.2","6.8","9.8","4.6","1.0",".","",".",".",".",".",".",".",".","."
"Undergraduates","","703","3.339","62.4","3.8","16.4","4.3","8.8","3.4","0.6","0.3","",".",".",".",".",".",".",".","."
"Special","","28","3.636","78.6","3.6","10.7",".",".",".","3.6",".","",".",".",".",".",".",".",".","3.6"
"Graduate","","164","3.688","24.4","4.9","7.9",".","0.6",".",".","54.9","",".",".",".","0.6","0.6",".","6.1","."
"Prof Yr 1","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".",".",".",".","."
"Professionals","","3","3.000","33.3",".",".",".","33.3",".",".","33.3","",".",".",".",".",".",".",".","."
"","Dept. Total","898","3.376","55.9","4.0","14.6","3.3","7.1","2.7","0.6","10.4","",".",".",".","0.1","0.1",".","1.1","0.1"
