"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","217","2.841","13.8","18.9","29.5","19.4","9.7","6.5","2.3",".",".",".",".",".",".",".",".","."
"102","001","","40","3.750","65.0","22.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","38","3.895","81.6","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","40","3.833","72.5","17.5","7.5",".",".",".",".",".",".",".",".",".",".","2.5",".","."
"General Microbiology Lab","Course Total","","118","3.825","72.9","18.6","6.8","0.8",".",".",".",".",".",".",".",".",".","0.8",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.792","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"303
Biology of Microorganisms","001","","236","2.714","11.0","6.4","33.9","20.3","25.0","2.5","0.8",".",".",".",".",".",".",".",".","."
"304","001","","39","3.346","33.3","20.5","35.9","2.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"304","002","","39","3.423","38.5","17.9","38.5",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"304","003","","38","3.316","39.5","10.5","36.8","5.3","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"304","004","","38","3.395","34.2","15.8","47.4",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","","154","3.370","36.4","16.2","39.6","1.9","5.2","0.6",".",".",".",".",".",".",".",".",".","."
"324
Food Microbiology Laboratory","001","","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Food Microbiology","001","","51","2.890","7.8","25.5","37.3","7.8","11.8","7.8",".","2.0",".",".",".",".",".",".",".","."
"370
Microbial Genetics","001","","36","3.324","41.7","5.6","30.6","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"526
Physiol of Microorganisms","001","","57","3.430","36.8","26.3","26.3","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"527","001","","19","3.132","15.8","15.8","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"527","002","","18","3.250","27.8","16.7","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"527","003","","16","3.313","31.3","12.5","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","","53","3.226","24.5","15.1","43.4","15.1","1.9",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","49","2.469","16.3","2.0","26.5",".","36.7","16.3",".","2.0",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","21","3.595","52.4","14.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","17","3.529","58.8","5.9","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","21","3.214","23.8","19.0","47.6","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","26","3.945","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
