"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","39","3.910","89.7","7.7",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","21","3.310","23.8","33.3","33.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","150","3.220","24.0","22.7","41.3","5.3","3.3","2.7","0.7",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","28","3.321","28.6","32.1","17.9","17.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"360
Materials Laboratory I","001","","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","004","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","20","3.816","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","13","3.423","53.8","7.7","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","20","3.400","25.0","40.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Matrls-Elevated Temp Serv","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Surf&Interface Characterztn","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","17","",".",".",".",".",".",".",".","70.6",".",".",".","29.4",".",".",".","."
"803","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","28","4.000","64.3",".",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
