"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","376","002","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","23","3.543","34.8","47.8","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","412","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","","Course Total","9","3.278","55.6","11.1","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","","Course Total","11","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428","001","10","3.700","90.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429","001","10","3.450","60.0",".","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446","001","8","3.000","25.0","50.0",".",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Concept&Methodol of Figuration","452","001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communication Design","458","001","12","2.792",".","25.0","41.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","106","3.798","78.3","11.3","4.7","1.9",".","0.9","0.9","1.9",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518","002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","8","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529","001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","10","3.654","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576","001","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Artists' Video","618","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
