"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Literary Legacy of Arabs","120","001","18","3.417","38.9","11.1","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Lang and Lit","201","001","78","3.442","46.2","26.9","16.7","5.1",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","325","2.821","18.5","14.8","26.2","18.2","12.6","4.0","4.6","1.2",".",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230","001","24","3.542","20.8","70.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","48","3.489","41.7","27.1","12.5","12.5","2.1",".",".","4.2",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","19","3.500","42.1","36.8","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-African Linguistics","301","001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","11","3.740","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","22","3.636","68.2","9.1","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","321","003","24","3.642","62.5","8.3","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","321","004","10","3.438","50.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","321","005","21","3.495","42.9","23.8","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321","006","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","007","9","3.808","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","114","3.599","55.3","17.5","20.2","4.4","0.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"","323","001","17","3.441","47.1","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","323","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","28","3.661","67.9","14.3","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".","."
"","331","001","24","3.603","29.2","62.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","331","002","22","3.671","68.2","27.3",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"First Semester Swahili","","Course Total","46","3.635","47.8","45.7","4.3",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","13","3.346","23.1","46.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Xhosa","351","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","001","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","371","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","","Course Total","25","3.626","44.0","40.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","12","3.333","41.7","33.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391","001","8","3.694","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Poetry","411","001","24","3.934","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","12","3.591","50.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"Fifth Semester Yoruba","475","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500","001","28","3.763","82.1","14.3",".",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Special Topics","669","002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Smr-African Mythology","955","001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
