"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201
001","67","3.677","55.2","29.9","10.4",".",".",".","1.5","1.5",".",".",".",".",".",".","1.5","."
"19&20 C Russian Lit Tran I","203
001","87","3.632","57.5","27.6","11.5",".","1.1",".","2.3",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208
001","20","3.775","75.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","23","3.599","60.9","17.4","17.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","20","3.000","20.0","20.0","15.0","20.0","20.0",".",".","5.0",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233
001","25","3.804","76.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","6","2.750",".","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247
001","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261
001","20","3.375","40.0","25.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","19","2.528",".","21.1","21.1","36.8","5.3",".","10.5",".",".",".",".",".",".",".",".","5.3"
"Scand LitTran:Mid Ages-1900","271
001","113","3.372","31.9","30.1","25.7","7.1",".","1.8","1.8","0.9",".",".",".",".","0.9",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","232","3.759","68.5","22.8","5.6","1.7","0.4","0.4","0.4",".",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","277
002","41","3.402","17.1","51.2","26.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Lit in Translation","303
001","20","3.079","20.0","15.0","30.0","20.0","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"Turkish Lit in Translation","313
001","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","12","3.091","33.3","16.7","16.7","16.7",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Decadence-European Cntxt","350
001","6","3.932","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360
001","139","3.315","35.3","21.6","28.8","2.2","5.0","0.7","2.9","3.6",".",".",".",".",".",".",".","."
"Russian Drama in Translatn","443
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","894","3.525","49.0","24.3","16.7","4.4","2.1","0.6","1.6","1.0",".",".",".",".","0.2",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","53","3.555","43.4","32.1","20.8","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Sophomore","","223","3.574","53.4","20.6","16.1","6.7","1.8","0.4","0.4",".",".",".",".",".",".",".",".","0.4"
"Junior","","296","3.600","50.3","29.1","14.9","3.4","1.0","0.3","0.7",".",".",".",".",".","0.3",".",".","."
"Senior","","313","3.409","46.6","21.4","18.5","4.2","3.8","1.0","3.2","1.0",".",".",".",".","0.3",".",".","."
"Undergraduates","","885","3.525","49.4","24.4","16.8","4.4","2.1","0.6","1.6","0.3",".",".",".",".","0.2",".",".","0.1"
"Special","","9","3.750","11.1","11.1",".",".",".",".",".","66.7",".",".",".",".",".",".","11.1","."
"","Dept. Total","894","3.525","49.0","24.3","16.7","4.4","2.1","0.6","1.6","1.0",".",".",".",".","0.2",".","0.1","0.1"
