"Herodotus","531
001","","8","3.938","87.5","12.5",".",".",".",".",".","",".",".",".",".","",".","",".","",".",".","."
"Directed Study","699
022","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Graduate Survey","801
001","","10","3.900","90.0",".","10.0",".",".",".",".","",".",".",".",".","",".","",".","",".",".","."
"Individual Research Thesis","890
021","","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","70","3.495","50.0","17.1","17.1","1.4","5.7","1.4","",".","5.7","1.4",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","3.000","40.0",".","20.0",".","40.0",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","","9","3.545","44.4","22.2","33.3",".",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","","17","3.431","41.2","29.4","17.6",".","11.8",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","","14","3.302","28.6","35.7","21.4",".",".","7.1","",".",".","7.1",".","",".","",".","",".",".",".","."
"Undergraduates","","","45","3.364","37.8","26.7","22.2",".","8.9","2.2","",".",".","2.2",".","",".","",".","",".",".",".","."
"Special","","","3","2.500",".",".",".","33.3",".",".","",".","66.7",".",".","",".","",".","",".",".",".","."
"Graduate","","","22","3.900","81.8",".","9.1",".",".",".","",".","9.1",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","70","3.495","50.0","17.1","17.1","1.4","5.7","1.4","",".","5.7","1.4",".","",".","",".","",".",".",".","."
