"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
004","32","3.281","31.3","18.8","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","148","3.331","29.1","25.0","31.8","11.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","406
001","20","3.100","25.0",".","60.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","603
001","22","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
603","27","3.574","33.3","48.1","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","49","3.520","30.6","42.9","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","19","3.316","31.6","31.6","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
620","28","3.161","25.0","17.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","47","3.223","27.7","23.4","21.3","21.3","6.4",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","002
621","40","3.163","32.5","15.0","30.0","7.5","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","630
001","32","3.250","28.1","25.0","28.1","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
630","40","3.363","25.0","25.0","47.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
630","35","3.143","25.7","14.3","42.9","8.6","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","107","3.257","26.2","21.5","40.2","5.6","5.6",".","0.9",".",".",".",".",".",".",".",".","."
"","631
001","26","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
631","27","3.537","37.0","33.3","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","53","3.594","41.5","35.8","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","54","3.611","25.9","70.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","52","3.683","40.4","55.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","57","3.904","86.0","8.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","163","3.736","51.5","44.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
701","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","4","***","","","","","","","","","","","","","","","",""
"Adv Financial Reporting","001
706","22","3.455","50.0",".","45.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","30","3.817","80.0","6.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","26","3.558","34.6","42.3","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
770","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","51","3.696","54.9","29.4","15.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","990
136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","085
999","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","136
999","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
