"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","276","3.090","35.5","16.3","19.2","10.9","8.3","5.1","3.6","0.7",".",".",".",".","0.4",".",".","."
"201
Speech Science","001","","51","2.873","15.7","25.5","23.5","11.8","15.7","3.9","3.9",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","94","3.543","50.0","22.3","19.1","5.3","2.1","1.1",".",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","189","3.397","55.6","6.9","19.6","2.6","7.4","4.2","1.1","2.1",".",".",".",".",".",".",".","0.5"
"303
Speech Acoustics,Perception","001","","63","3.659","58.7","20.6","17.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","81","3.562","46.9","32.1","9.9","8.6","2.5",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","40","3.550","45.0","27.5","22.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"390","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","39","3.763","79.5","10.3","2.6",".","2.6",".","2.6",".",".",".",".",".",".",".","2.6","."
"503
Neurl Mech Speech,Hear&Lang","001","","37","3.676","62.2","13.5","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","44","3.909","88.6","4.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Introduction to Graduate Study","001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","28","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","46","3.991","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
