"","006
990","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","007
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","015
990","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"SCAND ST
872","Dept. Total","234","3.597","49.1","25.6","9.8","4.7","0.9","0.9","0.4","6.8","",".","0.4",".","",".","0.4",".",".","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.455","40.6","28.1","18.8","6.3","3.1",".","3.1",".","",".",".",".","",".",".",".",".","."
"Sophomore","","45","3.627","51.1","26.7","13.3","6.7",".",".",".",".","",".",".",".","",".",".",".",".","2.2"
"Junior","","58","3.666","51.7","36.2","10.3","1.7",".",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","49","3.433","49.0","22.4","8.2","10.2","2.0","4.1",".",".","",".","2.0",".","",".","2.0",".",".","."
"Undergraduates","","184","3.555","48.9","28.8","12.0","6.0","1.1","1.1","0.5",".","",".","0.5",".","",".","0.5",".",".","0.5"
"Special","","11","3.714","36.4","9.1","9.1",".",".",".",".","45.5","",".",".",".","",".",".",".",".","."
"Graduate","","39","3.890","53.8","15.4",".",".",".",".",".","28.2","",".",".",".","",".",".",".",".","2.6"
"","Dept. Total","234","3.597","49.1","25.6","9.8","4.7","0.9","0.9","0.4","6.8","",".","0.4",".","",".","0.4",".",".","0.9"
